BackPresTurbineOP.steam_flow_in,BackPresTurbineOP.steam_pressure_in,BackPresTurbineOP.steam_temperature_in,BackPresTurbineOP.steam_pressure_out,BackPresTurbineOP.steam_temperature_out,BackPresTurbineOP.electricity_generation
48.85636364,3.298181818,440.74,0.71,317.7681818,2.615454545
48.72181818,3.302727273,440.8218182,0.71,317.2281818,2.618181818
49.22833333,3.283333333,440.54,0.7125,316.8983333,2.6525
50.81636364,3.274545455,440.2945455,0.72,316.3818182,2.761818182
51.06333333,3.264166667,439.935,0.724166667,315.9233333,2.76
51.3125,3.259166667,439.675,0.73,315.7375,2.7675
51.70583333,3.254166667,439.475,0.739166667,315.6466667,2.775
51.66909091,3.252727273,439.3954545,0.741818182,315.8463636,2.760909091
51.85909091,3.255454545,439.45,0.75,316.1118182,2.76
52.06181818,3.25,439.55,0.754545455,316.5009091,2.766363636
52.33833333,3.25,439.895,0.76,316.795,2.775
52.5775,3.235,440.14,0.764166667,317.185,2.775833333
52.47090909,3.233636364,440.5309091,0.77,317.6009091,2.748181818
50.92545455,3.244545455,440.8672727,0.77,318.3636364,2.611818182
50.381,3.244,440.93,0.77,319.591,2.548
48.11666667,3.263333333,440.9233333,0.77,320.7625,2.374166667
47.00818182,3.288181818,440.9218182,0.77,322.0690909,2.307272727
47.38727273,3.294545455,440.9218182,0.77,322.8954545,2.333636364
47.0775,3.310833333,440.8066667,0.779166667,323.3708333,2.310833333
46.802,3.325,440.37,0.781,323.617,2.287
46.52,3.3375,439.9275,0.79,323.9225,2.259166667
47.529,3.329,439.728,0.798,324.212,2.305
48.00090909,3.324545455,439.7045455,0.8,324.4609091,2.318181818
46.34454545,3.341818182,439.7409091,0.794545455,324.62,2.234545455
45.55363636,3.357272727,439.7763636,0.79,324.7645455,2.204545455
45.605,3.364,440.151,0.79,324.831,2.214
45.07583333,3.368333333,440.5983333,0.79,324.9025,2.190833333
45.45818182,3.366363636,441.1681818,0.79,324.9954545,2.209090909
