eturb_m1_delta_k1,eturb_m1_delta_k2,eturb_m1_delta_R2
0.13833403553181367,-0.0864280996204159,0.9029778287747172
0.14282664908736248,-0.09232791872133081,0.9071783749824395
0.14011941045095574,-0.06125931641711689,0.9341894609122944
0.14930964178549302,-0.05857337811600699,0.8857032990513102
0.15072463182230544,-0.05739991365299959,0.8829008886982213
0.13585712904276057,-0.026275885081531728,0.9404517302911577
0.1335047335750209,-0.03149631401713158,0.9469107765071291
0.13062482451945545,-0.02564268696657608,0.9561536080553108
0.13799489905417683,-0.03217735541496554,0.9647402713952483
0.1374655913211701,-0.03342099039811772,0.9653899118094951
0.1455486380880053,-0.04373291576932087,0.9692924947726805
0.1478286953486194,-0.04887259368288108,0.974018811671878
0.15176273397661613,-0.054515971747367525,0.9645024547631426
0.13420043214381314,-0.0698991000738895,0.8625327488873704
0.1174803351371643,-0.05156034631750201,0.830663996363402
0.08721627883383475,-0.004021722372868911,0.7351942035747676
0.05214512889234328,0.06157300899109605,0.6977039130147737
0.04191443791709432,0.0723106992628237,0.6543007057327219
0.037183720522291366,0.07927678195605847,0.6631823602196101
0.023770053707834613,0.1119185638548029,0.6892875148574413
0.030405783096442495,0.08799080450573253,0.6015253984327262
0.037234497843074935,0.07408340765944402,0.6262939034569144
0.049272298192114025,0.040853316928970214,0.6208899193842902
0.0549726559518011,0.024243987119537454,0.6095452120215823
0.059918826190833156,0.017808633339125385,0.5998753498033988
0.060663416713745366,0.016934365575037576,0.5532352786316266
0.06457992339173081,0.017208668657497716,0.6071990750893294
0.06558003068243488,0.015834185766775075,0.6078722488552452
0.0711822066268649,0.009824557896680871,0.609951146852154
0.07454680447609201,0.006386414259071317,0.6359999741162141
0.07616743174157006,0.01037772213525772,0.6522625891870628
0.08687144390916167,-0.01388839910247007,0.6992834187824277
0.08397269525518619,-0.011412738366084776,0.6715366823574309
0.08495164847843714,-0.03153047890163266,0.6673096145932496
0.08382262257929934,-0.03882142714922257,0.6460382642126274
0.08393555796227782,-0.03924707991749176,0.6287787842669927
0.08880926225237329,-0.056432725919628966,0.6327972128579845
0.07875835460587707,-0.04026085948557876,0.6250075963606869
0.07885200814160523,-0.03871808065041295,0.6090303088716331
0.08000612779027798,-0.030610380021947724,0.582182989296756
0.07922434773802048,-0.0045571280203533125,0.6612059113942361
0.08057039832022046,0.0070992462059690335,0.6983906212369348
0.08657578987846544,0.020305792203923333,0.9069014619762568
0.08966278736725512,0.037554287947133114,0.9506817254483223
0.10018017929429124,0.022304585575767456,0.9662886251159483
0.10437483676177373,0.014725370543851665,0.9748430664852441
0.10055776312251795,0.019918278863264964,0.9779660307954634
0.1355302417081471,-0.06601069881535662,0.9656497475345358
0.1440749823166589,-0.07279168633229793,0.9643008253115573
0.1419674324881193,-0.0681561530857716,0.9513837609879374
0.14295093526254604,-0.06904555605513613,0.9397334710680572
0.14513941679874048,-0.0704035268892924,0.9126889756031676
0.16405155170542807,-0.07739742006904224,0.9119421609341104
0.16032686399650814,-0.07930632953931434,0.9221229764204785
0.14930217766849382,-0.07011729391886441,0.889160096661141
0.17089845031279763,-0.09642290627092442,0.9259973149269698
0.17137396391720416,-0.10482270885137414,0.8538055426350193
0.1777561067859222,-0.10904262074533783,0.8409726095520649
0.17657567094064452,-0.10783000662354703,0.8446067017187467
0.18066748572467936,-0.11067229558781766,0.8621729717669266
0.17735535997056448,-0.10819505996071384,0.8603975295417637
0.1285209359526966,-0.08172101168107639,0.5692615146304139
0.14647311072913777,-0.03660035144624815,0.8074055793093103
0.15794554567602778,-0.061871863355489144,0.8191424039379888
0.15556559503573414,-0.057237657339005266,0.7391496189710351
0.1568483348008743,-0.05770670970634016,0.759667136811264
0.1624144548048674,-0.07102537797191875,0.7626248127224778
0.16559619018957702,-0.07389531768645284,0.7797990618609889
0.15754068490174075,-0.06852048678771772,0.7455597195309396
0.13692779759148876,-0.053253030640172075,0.7401436950204048
0.13560742966152037,-0.060920296199631206,0.8556826668064069
0.11608607636575968,-0.05522352876859884,0.7994649417113774
0.10120146305959603,-0.04391540827799222,0.7248782769585218
0.09927601470568352,-0.052163364991474566,0.6563606089214991
0.08436206478813388,-0.0251304596494743,0.5655076037080482
0.07291328666254807,-0.027437565988708664,0.37663571133838325
0.08251783857064857,-0.025250359274054508,0.42063334423040566
0.092520603901237,-0.025632623348786982,0.45437316801745053
0.10020834422658784,-0.017849978555326995,0.5540383446706576
0.16091518990948792,-0.08641397083794168,0.8355725526833974
0.16520906104434266,-0.12203405536863288,0.8652848565175957
0.16558544597526928,-0.12268461900283079,0.8731933043551079
0.1653239446518463,-0.12357298912875471,0.8885939496455789
0.16696886041692444,-0.12487609341584317,0.9361358870771402
0.16463413462531115,-0.1252760373894209,0.9491890555358831
0.15961216018503735,-0.12068659874588533,0.9417670030342963
0.15678244594062052,-0.11762508485786174,0.9577559523821448
0.15595251692797568,-0.10959366039343019,0.9583142785127566
0.15466397231993112,-0.10323437403725304,0.9443230586135771
0.13385020520018,-0.07528238676193656,0.8836936336943214
0.07607445856048939,-0.002395136439763993,0.7983216935937352
0.07906796236188983,-0.008238369774206888,0.8018627341368534
0.14729834067992056,-0.10484522250373564,0.9039983895020115
0.15614345951551786,-0.12237904077533547,0.9300737180869568
0.15881329741134897,-0.12892969773590118,0.955772046778381
0.15855526719122628,-0.12630608476299535,0.9653594168185365
0.1609541728516087,-0.12218519645011433,0.9663754677332168
0.15896058170830013,-0.12542971017423155,0.9601114136334051
0.14585551338010844,-0.1048768450464651,0.9270867459906151
0.12012057312695663,-0.06689149887520464,0.9166510350834062
0.09721486871533712,-0.023656246760276056,0.9552857352001095
0.09821603856030064,-0.02595086639910904,0.9549433812288836
0.09908175784582393,-0.027624274083722512,0.9508828242073749
0.09761592445031796,-0.026488680092742058,0.9458173594329902
0.1078178888673214,-0.04321958677105178,0.9466214107055809
0.11948805845947835,-0.060015880611081006,0.9374162085509191
0.10520106472661735,-0.04561356566689731,0.8622101667133816
