bturb_m1_origin_k1,bturb_m1_origin_b,bturb_m1_origin_R2
0.06075516395614865,-0.8083155784747286,0.821649157369502
0.06297107548250246,-0.8795985393693164,0.8372665355985209
0.0603335917910448,-0.8088316164171813,0.7415148523010031
0.04677573683390374,-0.4254321295765623,0.7575225374204788
0.04142598635991044,-0.2698093447384261,0.7571621668090949
0.03675275705231835,-0.13643248905484162,0.8029763426953066
0.04684888856834343,-0.43830384482477924,0.9355691190526718
0.05276341136040528,-0.638635579464626,0.7900313529885643
0.061448619242917925,-0.9193982189099023,0.7978104561615689
0.060368143151201425,-0.8896728864811079,0.8068476133119707
0.05833953697677601,-0.8309264757412219,0.8135370290872757
0.05624847713414161,-0.7722645525020492,0.8454013450406157
0.02640006394297939,0.0821841990687513,0.3342881427668505
0.029562789198658224,0.018397256993463507,0.11767353784487833
0.0849693794286531,-1.5079441515904666,0.8184562921323904
0.08490953841577224,-1.4905293617613986,0.8925743101446836
0.08179411710882026,-1.3888836457357896,0.9304530711500991
0.0806037451350131,-1.347897074417654,0.940801748017801
0.07001609048812986,-1.044146736452731,0.9195481328614491
0.07117012325740218,-1.084074778820569,0.9441884331972572
0.061307088473400315,-0.8022688161240186,0.9627295640110441
0.05782754118032179,-0.7019760974216285,0.9573271831125223
0.05704695850198386,-0.6728735317367187,0.9678408250753264
0.057379371315053086,-0.6813532549667499,0.9690059742442639
0.041678150046610914,-0.26465174796412627,0.7913055970967222
0.03482967654788573,-0.07838719233351854,0.60787118623522
0.023579166735394213,0.21897280312254885,0.3247413218500447
0.017946911097155956,0.3693274133797077,0.23960951015030563
0.02151447152464235,0.28228892072854517,0.3217221805892889
0.027298679382433657,0.13568234463172346,0.3409200119053384
0.0373332069576759,-0.11574625293035068,0.5159149849803809
0.03609028829880424,-0.0819040959872731,0.5075391064891946
0.0760123097448232,-1.0976140395983416,0.8939123749397684
0.07833344169362046,-1.1651859268435047,0.9420715407741321
0.07974702033590204,-1.2077694468611933,0.9558827905001951
0.0733003260250299,-1.032166755779095,0.9429802088687548
0.06385660768765959,-0.7683607916230677,0.9221903701306948
0.014500586026068293,0.6465243349309862,0.07475653930829695
0.012447129171608649,0.7001177994633648,0.06989889632591861
0.07048038761878543,-1.0103792077637241,0.6024297104691774
0.08087689662669709,-1.3382820920035177,0.6777390760112121
0.07519079626711088,-1.1858160221652994,0.7883781674318726
0.06798477030120202,-0.98593295854984,0.8387023459639162
0.06458537912547728,-0.886745288560566,0.7829286395733244
0.07380187279202792,-1.1289232124475221,0.5834270228318605
0.10036395623059294,-1.8595518861681337,0.8070850632063796
0.10314335874895877,-1.9114896910891745,0.8977542417436001
0.1045828304405237,-1.922068499502678,0.8418981101713703
0.08649827937575827,-1.3577687472911701,0.7003629766429799
0.05968952809491772,-0.5276806746807505,0.6927328041514802
0.05191662855162858,-0.2785573724087089,0.8462061565106376
0.060099820144650186,-0.5131630650090802,0.9093087466099548
