bturb_m1_delta_k1,bturb_m1_delta_R2
0.06083438745314639,0.9221705422509383
0.06137457790424097,0.9278030232734507
0.061511726000817155,0.9491393632716133
0.0592196133464038,0.9622825824261034
0.05782116593984421,0.964924804078557
0.05640626870989514,0.9476091742205641
0.057662147051995696,0.9486573869615321
0.05934094809157356,0.9651834143909521
0.059798417568786566,0.9637170373524532
0.059677707156837755,0.9468611383273656
0.06070958586387961,0.9474088323774342
0.06186577841889589,0.9477038101735009
0.06358287271039548,0.95105014863081
0.06899755926027847,0.8599629123681847
0.0665246332231094,0.9075379011043192
0.06899121789064797,0.9375184939348559
0.07014186270787126,0.9414331421122845
0.06891523013816023,0.9510142457480519
0.0683919859969497,0.9561589334300702
0.06748516040218973,0.9629622234603569
0.06882261886384806,0.9659449861141597
0.06829242693563331,0.9699093837135271
0.0670248478674273,0.9742978879313933
0.06671857239680974,0.9679901145599281
0.06530499044739578,0.9636002588147907
0.06638318554488101,0.9612255673456789
0.06698487767420196,0.9670762087280932
0.06808829158557324,0.962476302374045
0.06938843580220923,0.9698422035630244
0.06863264746212096,0.9650493453931022
0.06953845448557033,0.9664378747785053
0.06891942645585877,0.9729401493891061
0.0701176508083427,0.9657830150925268
0.07017196600380673,0.9565553183175223
0.07082476993374666,0.9325363036433856
0.07274244624537946,0.9221297386997527
0.07511227433485786,0.8955233616926486
0.09537191612393832,0.7986614607293065
0.06381984893696555,0.7541458380737456
0.0653176376590056,0.8956049066517221
0.06452215116500054,0.9015035508777287
0.06479530448564041,0.9141256485421868
0.0654890840259541,0.9264547971006751
0.06675289144866162,0.9152588645970338
0.07335243434201051,0.9203003535874275
0.06766360728439842,0.914869567018181
0.06675929458212296,0.8976150147536086
0.0667910869115796,0.8884387928147306
0.07025786865513368,0.8987150327029025
0.07079183896101661,0.910542192650539
0.0693738475302451,0.9082869471166525
0.08010714196373953,0.892216387088044
0.08699479443444665,0.9493618536719673
0.08692282659509142,0.958453884120342
0.08582589826736463,0.9465694221702958
0.08413119416472377,0.9513690501862965
0.07645760527379838,0.96269136148828
0.07631182977377697,0.9632343336414579
0.07616601701006494,0.962596580825616
0.07569361379122475,0.9614767032321546
0.0737728178684875,0.9535309168957886
0.07351101463323546,0.9576033994039082
0.07385311951434817,0.9653247485218751
0.07129368086897127,0.9449574557171311
0.06912943333301333,0.9188270040725453
0.06713091869752778,0.9237662584941244
0.06775550541361458,0.9260053103610396
0.06654439426313423,0.9179018958679203
0.060967793831474174,0.8833998031394825
0.06363728380335591,0.9079108593165486
0.06593837579666546,0.9460542084154143
0.07345133229726829,0.9342478219778503
0.06832279937190051,0.9617336205605119
0.06652000275352585,0.9523464902639617
0.06462957823627863,0.9460319870896486
0.06504972989318587,0.9404325671732021
0.06442724564387645,0.9403399045302708
0.06342647552520546,0.9458182013456069
0.061319104372715295,0.8931522596134851
0.061955394622477296,0.8699010659870049
0.06493289919663874,0.8504676295545446
0.06489536894950503,0.8705356085869287
0.06633292270443243,0.8642406523478321
0.06917891933617498,0.8996937137335007
0.06901126611668694,0.8917277527918207
0.07180691148414653,0.9469077919443512
0.07397363803176159,0.9788035682349924
0.07425491937259111,0.9763210252896045
0.07406506648898296,0.9752082607797837
0.07377177715031807,0.9649392057466217
0.07361200083158408,0.9659905423455653
0.07317020013906245,0.9530604662317546
0.06512876657499776,0.8965208947072547
0.06402771348232597,0.886341496716875
0.06929584464944144,0.9131723696027851
0.07039120662918764,0.9229730515086632
0.07141516763023469,0.9263915423362771
0.07419922690516219,0.9439240498695441
0.07744358964020957,0.9648443798974649
0.07942643684142345,0.9677229699497928
0.07972854296530026,0.9582078308918861
0.0804881164531262,0.9575625970766496
0.08144035087392633,0.9452099142057206
0.08946035324399808,0.9013439511006432
0.0956648309535004,0.8960270747020782
0.0947296083140377,0.9004474585803881
0.07886095282615184,0.9187402578663957
0.07851958102680567,0.9211422301114053
0.07381420960123633,0.9474161229077298
0.07445850324959391,0.9612364476081814
0.0748909084954878,0.9671427224792404
0.07473708757725674,0.9703921754956357
0.07690763718205652,0.9703925401550992
0.07782438491618589,0.9713933642296513
0.0803266111922938,0.9750955151169335
0.08354303247139251,0.9709229073938096
0.08474162049212047,0.9694012917859268
0.08283452330947463,0.9721487447499078
0.08193840980631613,0.9683650711863893
0.08120215106897259,0.9751527108650303
0.0815702531041502,0.9719515876497505
0.08111188171552389,0.969193090479481
0.08065653610280063,0.9616955807597858
0.08493130759368163,0.9430534837846021
0.08627287218701356,0.9332705857510211
0.08038827244157982,0.9592007223812532
0.07965132894404733,0.9583038028172067
0.07477761974918658,0.9669521706636256
0.0753197713990325,0.9691888783219018
0.07495424328474974,0.972926033048011
0.07491564937565519,0.9733980996063707
0.07482397613829521,0.9596626356783345
0.0742630846617017,0.9633229476596523
0.08254025643735112,0.9482842969645835
0.08242701519625414,0.9423157827647473
0.08239983426360557,0.937087209511785
0.08297408303598225,0.9391676305138092
0.07894687714424768,0.9103422323294041
0.07985077751385806,0.8960304770292759
