eturb_m1_base_k1,eturb_m1_base_k2,eturb_m1_base_R2
0.17658489508898714,-0.08649919333452329,0.9229524480315902
0.1772345280968639,-0.11779872284296088,0.9042662984073017
0.16437307271282936,-0.08497731363847674,0.9779972396350511
0.16887951536522278,-0.08830343749416873,0.9623021730836018
0.16709142075496103,-0.08982022831934103,0.9274187956244537
0.18816263951294174,-0.12074029019618915,0.9807940720300108
0.16259667066929057,-0.0682722850640283,0.9845807384229841
0.16047280172755296,-0.06950271278050724,0.9836939089027292
0.1678195254010919,-0.0686584932800145,0.9767812296793366
0.1507786411593965,-0.060330705619304335,0.9629635675724879
0.16910834123625865,-0.07724532300059524,0.9902406018044942
0.16975081147524734,-0.08757089599224373,0.9929911510128028
0.1694106896903214,-0.07952451861003591,0.9917534659460315
0.1710137700447763,-0.09708226306749056,0.9684109558704767
0.13443204513299087,-0.06931770192245101,0.8997023729540151
0.12318621135563478,-0.07144652392489635,0.9104678984512088
0.11435284444901202,-0.045282768592837384,0.8587534202716514
0.11820086875421595,-0.0909489687698344,0.8951797081029166
0.10778118795733857,-0.08066806650316045,0.8402819838652876
0.11075195499643586,-0.01902586170389865,0.8407001989957458
0.15116995944018027,-0.08113927502592809,0.8759112363714574
0.13483273986327496,-0.06660087412083393,0.8666854546406095
0.14660808241954232,-0.08492708017187128,0.9143327716343763
0.15281318569200292,-0.08271792250254008,0.9443080017104232
0.15258400650727794,-0.06599881852101498,0.9337403239464075
0.131454234642171,0.006129361402837758,0.8830528904900472
0.14753713910149696,-0.06693359281159061,0.9142012103625129
0.14231549396930784,-0.0737905689576085,0.8269603105943092
0.15283473869821593,-0.0735008697607883,0.9190840387431066
0.1531943549492232,-0.038674557829412544,0.9349243355041239
0.19459993217697677,-0.13015398632766,0.958212673053386
0.10974124389014175,0.048811513596574055,0.9672332352298723
0.11890794126734587,0.03029811666232041,0.9615516889463874
0.13489994401826017,-0.041540991377082184,0.8857501714483765
0.18061451762079023,-0.08526597582524018,0.9128634293435556
0.14466498527972696,-0.07556831453455291,0.860650176736306
0.15230894198815215,-0.05507470259623273,0.9083443217871355
0.18131052125709718,-0.06473392823130744,0.9487951976365546
0.16951997796617396,-0.07208277253696993,0.9264780311177594
0.16696357083603108,-0.12499099813363564,0.9668388097355523
0.1939927774377682,-0.119173933124031,0.9011463076741979
0.19801896264073984,-0.11485664168450052,0.8496169014178442
0.12329870562902599,-0.04252216971422116,0.9533310546204959
0.0997275838680109,0.04523505323601561,0.9581418923894014
0.1040090740660083,0.005677256819285053,0.9887759430450554
0.11275355760513531,-0.007302689753091622,0.9873775710231085
0.09067396837890378,0.049022998285988946,0.9873038134500026
0.12418616477692333,-0.07493361183598081,0.9729741111262235
0.138747779559365,-0.07503157491232668,0.9391305056684177
0.13716997663524094,-0.07909787027201991,0.9298175802489248
0.1476446599191293,-0.08223987514157609,0.9190431809077046
0.15302551812152954,-0.07848343313072771,0.8794872725927061
0.15164403200767135,-0.09007796052220109,0.9175669085646674
0.1705264965089758,-0.13944611067395096,0.723104907355667
0.14612163513162754,-0.08334808913025814,0.9451116517888711
0.1415361773112606,-0.0851934979646049,0.8950806166323787
0.16382989904398917,-0.09680561632722157,0.8868870013306662
0.1444718645584807,-0.0810019446199632,0.6943002978991855
0.20125419464287492,-0.11561889255317269,0.736178259748757
0.15778842264999002,-0.08565805878267349,0.7817164350544212
0.15377700981424888,-0.08397890684866846,0.8683042043238148
0.19967220294084123,-0.11796810502290436,0.9126821061653512
0.2122728344594821,-0.10751597737375154,0.9658001856628156
0.21183427856086215,-0.07169471980842819,0.9458956066760664
0.16922373984412864,-0.11371656855717796,0.87093274882239
0.1749735453957129,-0.13277514361824674,0.8816435676366503
0.27358820534364403,-0.20030720214048248,0.642650179035833
0.2162629187286683,-0.15835720522635666,0.767292908079831
0.21961521224457797,-0.1628835847149727,0.640669998908492
0.04117690330374631,-0.012193778347851911,0.3485457376084663
0.22707213068088966,-0.12050179339675307,0.7611970044495338
0.16480471767463162,-0.09767570616641234,0.7874173732861007
0.12014396447168661,-0.08462738909946799,0.7278356950891527
0.11881957759931057,-0.08943319859728359,0.5670530305907601
0.11215871108090007,-0.06544702652280503,0.44626775230789884
0.11339088945868618,-0.0879561404672445,0.6067446199970845
0.16009551607896533,-0.11776132035699222,0.6863512985106589
0.12844317819690873,-0.07647276763787869,0.702272865320827
0.1039975217246153,-0.07076011024808837,0.6062328175298577
0.1899707857966827,-0.14718838958727323,0.9161414461462016
0.17271414414264197,-0.1187280880109877,0.856675848430599
0.18615155380894288,-0.1071663529823055,0.8769670021460956
0.17294302120969662,-0.10647729529951626,0.8096063674748439
0.1803044783417929,-0.1186430160414498,0.8755011466963549
0.16913481118972054,-0.11490120791609965,0.8492286552895186
0.15917659890008096,-0.09473448915474234,0.8322910809129387
0.1634839249760661,-0.14869641851109633,0.8189900913051779
0.11847841904701577,-0.11259350623181515,0.7300364521583027
0.17984665059405358,-0.1096110016418459,0.9234327377131402
0.16390275537216972,-0.12497548553783941,0.8561238270137601
0.16916230648580136,-0.145614165836027,0.26599834474439343
0.08782213095089761,-0.056088841852578196,0.32201078273810746
0.09119821875648654,-0.10852335152740525,0.34855224926590467
0.08802160139137478,-0.05561199137259539,0.6497940643123998
0.14022424420604693,-0.07131101464549011,0.925731040604691
0.15364169878564923,-0.09363889842489748,0.9593429539741609
0.1430259401822407,-0.08013460408792572,0.9185820324048909
0.15444887264145704,-0.09637055819138297,0.927234868821681
0.15961455346807468,-0.10942560860622913,0.9054418277936555
0.16584239381271643,-0.11714643683939048,0.812867854912765
0.09697356283388077,-0.024498443210072284,0.9391451677005584
0.09187378273272227,-0.012895344037179953,0.9327284026443039
0.10714927753603268,-0.04102472364830479,0.9479519845238319
0.11426040306259692,-0.041129045865972436,0.9265184951051311
0.10614207926891686,-0.05535951866653188,0.9330086797422377
0.12629511283467337,-0.08333613214366029,0.8955361924257716
0.14239283071465067,-0.12094115944861421,0.7463364436897708
0.060598828652246334,-0.006120130001318416,0.6265505228071455
0.05109039603300005,-0.007102502669888345,0.546516349834204
0.03515414379258022,0.01977193129682878,-0.1410643467590973
0.13575903878203152,-0.08369165917355768,0.7530681267153349
0.09867501685816686,-0.008949195469450217,0.6046225518735862
0.1526433313445276,-0.127294848364434,0.7971817189030319
0.14547314061058497,-0.11384072764894175,0.7680885729401807
0.05861501201378734,-0.01937096791567788,0.6879428330385051
0.11798948224204095,-0.025865251003409896,0.9417010904119849
0.1806417489943454,-0.14137130893869998,0.9534334434933596
0.12358641026373894,-0.045116675256129425,0.976631511512653
0.13079536869418545,-0.050530882439489284,0.9800194000810728
0.12618368019415388,-0.050391995590742755,0.9656286509927641
0.16664550635378406,-0.09094372338533634,0.9517549775010463
0.1289216077408802,-0.06700203320709963,0.9339674072465158
0.12607091954858488,-0.06744901481900095,0.7732123596756919
0.14414786933761173,-0.07118079441390389,0.4596702277739031
0.16262573117786297,-0.11006034138264596,0.40304288881095474
0.11737878636138831,-0.09849279552746047,0.3155474594118125
0.05465837437458754,-0.05710434102593416,-0.1938674331236263
0.029317217096077923,0.046266961315522805,-0.6898904677758364
0.14804276397953914,-0.11080732987701107,0.908981440453325
0.1425391229680073,-0.09141625028086324,0.9641167548353501
0.13234305049042377,-0.08012164853616861,0.9538432333368905
0.14575420043538634,-0.10060330816383943,0.9431512655226791
0.14315042846561424,-0.10443008543905606,0.918789963205428
0.14019830673833292,-0.08484905958920638,0.8532903397464079
0.12991713082136347,-0.07535368638213909,0.8295845655926823
0.12674958541586187,-0.07777079431370454,0.8258097970938092
0.15584936343891295,-0.08426464398517639,0.7545700355109294
0.14404338179044743,-0.07032120768028456,0.8253088501654722
0.16179197050073016,-0.08495951821081534,0.8984366736888857
