eturb_m1_origin_k1,eturb_m1_origin_k2,eturb_m1_steam_pressure_in,eturb_m1_steam_temperature_in,eturb_m1_steam_pressure_side,eturb_m1_steam_temperature_side,eturb_m1_steam_pressure_out,eturb_m1_steam_temperature_out,eturb_m1_h0,eturb_m1_hc,eturb_m1_h1
0.13464790671642168,-0.11625899228331822,3.084458333333333,434.40858333333324,0.8032222222222224,326.88700000000006,-87.85006944444444,49.74520833333333,3308.305867117384,208.2719285062648,3113.4704010784285
0.1654708486954114,-0.15615175747386506,3.089333333333334,434.5693749999999,0.7992916666666671,326.39345833333334,-87.91215277777776,49.59509722222223,3308.5989165170527,207.64445704755158,3112.520006183293
0.16879483577667098,-0.13639988995847702,3.0889722222222242,434.4440000000001,0.7995277777777781,326.3145833333332,-87.93148611111108,49.544611111111095,3308.320598980217,207.43342510086404,3112.3488293120363
0.1517185582244419,-0.12919433723134088,3.10301388888889,434.64784722222237,0.8004861111111111,325.87579166666666,-87.92705555555554,49.546083333333335,3308.5784365257705,207.43958232186495,3111.404420510467
0.16573085662829112,-0.14099521223900868,3.116069444444444,434.8485138888889,0.8017916666666669,325.5059583333333,-87.89683333333336,49.579458333333356,3308.843613790691,207.57910483639472,3110.597154420994
0.17018740098548746,-0.1519447905222533,3.139041666666666,435.60022222222216,0.8038611111111112,325.300388888889,-87.86113888888889,49.61065277777778,3310.2134269400008,207.70951827717658,3110.1181631745444
0.20960522634118087,-0.1919111790126572,3.1844027777777777,436.51098611111115,0.8064027777777777,324.63005555555554,-87.81541666666665,49.6516111111111,3311.6233608276984,207.8807505453219,3108.650431559962
0.21594878698451334,-0.2031553591338585,3.1996944444444444,436.7612638888888,0.8078750000000002,324.20420833333327,-87.75361111111114,49.70536111111111,3311.9709099118913,208.10546229954323,3107.720994722422
0.2158732646449162,-0.22845658353817386,3.180652777777778,435.8738333333332,0.8072916666666669,324.0145138888889,-87.72274999999999,49.71738888888889,3310.23315726947,208.15576141482805,3107.334985794416
0.1862354748980775,-0.1982126134500832,3.140847222222222,434.66165277777776,0.8053194444444446,324.43608333333333,-87.72038888888889,49.69250000000003,3308.061952235487,208.0517354531402,3108.2667316431666
0.1967556586784099,-0.20299628939913986,3.0986388888888907,433.06020833333326,0.8014722222222226,324.43404166666664,-87.74861111111112,49.63066666666667,3305.0497532897966,207.7932670734575,3108.3493586211794
0.2076654052327208,-0.21071530129680427,3.053194444444445,431.2131527777778,0.7965000000000002,324.28197222222224,-87.79218055555556,49.55465277777776,3301.53650917757,207.4755162053333,3108.1418435306105
0.21199769881211336,-0.18781112518370496,2.999666666666668,429.38508333333345,0.79125,324.0696666666666,-87.83772222222224,49.460166666666666,3298.1940372700783,207.08055738072315,3107.8141047441395
0.1723272562611486,-0.11058006119938668,2.968611111111111,428.2743888888889,0.7864722222222222,324.0537638888889,-87.89895833333334,49.360361111111125,3296.146404688595,206.66335346158078,3107.88873657725
0.15239466212604794,-0.08142384817408713,2.9524583333333325,427.8899583333335,0.7818472222222222,324.0498472222222,-87.94352777777776,49.27744444444445,3295.5187867273935,206.31675484821503,3107.9850879468895
0.13314762150090498,-0.05947491581171852,2.955027777777777,427.9499305555557,0.7789305555555557,323.9334999999999,-87.98458333333332,49.203652777777776,3295.615918061309,206.0082994150347,3107.8065713525743
0.16227536947779914,-0.09017624181124187,2.9724583333333343,428.7252499999999,0.7791944444444446,323.92306944444437,-87.99005555555551,49.187277777777794,3297.106861802681,205.93985381123406,3107.7786864566324
0.16658941542591407,-0.09828214841304106,2.9879305555555566,429.25501388888887,0.7791666666666667,324.0284166666666,-87.99319444444443,49.175000000000004,3298.073755250983,205.8885349891167,3108.0006611066324
0.15146066584589024,-0.10824774337820167,2.993277777777778,429.9441805555554,0.7792222222222224,324.5093194444444,-87.99580555555555,49.168138888888876,3299.5506655290183,205.85985609558318,3109.0098256940014
0.16070672617891069,-0.10907222936979152,2.9978888888888897,430.0231944444444,0.7796666666666668,324.5898333333334,-87.99761111111107,49.17018055555556,3299.661120780468,205.86838786487925,3109.168972211767
0.1496532792021913,-0.0886746395129358,3.0057083333333328,430.2887361111113,0.7803611111111114,324.6241666666666,-87.9875833333333,49.16320833333334,3300.145583522878,205.83925550479404,3109.225458902899
0.14201439603326896,-0.07481211335150477,3.013777777777778,430.2521666666669,0.7811111111111112,324.28299999999996,-87.97961111111108,49.16523611111109,3299.9442213210023,205.84773767478316,3108.4916609060074
0.14669551369071673,-0.08625613053912863,3.016472222222222,430.090875,0.7815138888888887,324.05272222222226,-87.97344444444447,49.16356944444442,3299.540207099628,205.84077702350595,3107.9986658623593
0.14942232063865174,-0.09297354774210508,3.015055555555556,430.02505555555547,0.7818194444444445,323.75352777777783,-87.96758333333335,49.17305555555553,3299.4123989018467,205.88043014569513,3107.3630191904585
0.1746968170764587,-0.11930751237433185,3.0007361111111126,429.3435694444444,0.7810833333333336,323.7244166666666,-87.97748611111115,49.15288888888888,3298.084488177647,205.7961332066474,3107.3185150411277
0.17566391427083275,-0.12337648266964032,2.9880138888888883,429.07451388888876,0.7802916666666667,323.8459166666666,-87.98287500000002,49.10843055555555,3297.6650345537446,205.61031126254125,3107.591747636036
0.17180855684242094,-0.12367036073740545,2.9961388888888885,429.11413888888876,0.7815833333333333,323.57025000000004,-87.97376388888891,49.10266666666668,3297.6343438200793,205.58622851707324,3106.983219962518
0.1787616948390566,-0.1319184672336471,3.0044999999999997,429.44354166666665,0.7823472222222222,323.45845833333345,-87.95122222222221,49.12404166666667,3298.254661489805,205.67558651650216,3106.730969965256
