ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_pressure_in,ExtCondensTurbineOP.steam_temperature_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.steam_pressure_side,ExtCondensTurbineOP.steam_temperature_side,ExtCondensTurbineOP.steam_pressure_out,ExtCondensTurbineOP.steam_temperature_out,ExtCondensTurbineOP.electricity_generation
87.75636364,3.449090909,436.2727273,31.94818182,0.806363636,310.6690909,-86.58636364,48.85636364,12.36636364
88.28166667,3.443333333,437.1908333,32.9425,0.805,312.9691667,-86.54,49.07,12.38416667
88.13166667,3.423333333,437.5158333,33.28416667,0.800833333,313.7341667,-86.515,49.355,12.31583333
87.58333333,3.354166667,437.2291667,33.23916667,0.799166667,315.735,-86.48166667,49.49583333,12.18166667
88.59666667,3.319166667,436.1925,34.29333333,0.8,316.5258333,-86.45,49.58666667,12.185
88.79833333,3.276666667,434.8916667,34.6475,0.795833333,318.08,-86.4175,49.62,12.11833333
89.505,3.2525,433.73,35.50166667,0.796666667,318.5383333,-86.37416667,49.61,12.13
90.06583333,3.216666667,432.6475,36.21166667,0.790833333,319.0666667,-86.33166667,49.70666667,12.09333333
90.37666667,3.1875,431.7608333,36.86,0.7875,319.6933333,-86.28583333,49.62833333,12.07916667
90.09333333,3.165833333,431.015,37.15166667,0.785833333,319.685,-86.26916667,49.55083333,11.96416667
87.54083333,3.199166667,430.6858333,36.7,0.7775,318.6491667,-86.265,49.56083333,11.5325
86.65333333,3.234166667,430.6641667,37.49333333,0.774166667,316.6183333,-86.40666667,49.31916667,11.33083333
84.45818182,3.289090909,431.0972727,36.66181818,0.77,314.3245455,-86.70727273,49.21909091,11.07272727
87.16,3.2875,432.2116667,38.68083333,0.78,313.3725,-86.78833333,48.94333333,11.26583333
87.79090909,3.297272727,433.01,38.22363636,0.775454545,316.2381818,-86.70272727,48.64181818,11.51090909
88.37909091,3.298181818,433.42,38.64636364,0.781818182,316.4336364,-86.65363636,48.57090909,11.55363636
89.15083333,3.2925,433.8075,38.75583333,0.783333333,318.0016667,-86.58166667,48.48666667,11.71833333
89.7825,3.289166667,433.85,38.3975,0.783333333,319.4883333,-86.50833333,48.49,11.8625
89.83666667,3.288333333,433.9641667,38.57416667,0.7825,319.7283333,-86.4675,48.575,11.87916667
89.3625,3.293333333,433.9225,38.52833333,0.778333333,319.4633333,-86.43833333,48.5525,11.81916667
89.20833333,3.3,434.0333333,38.56916667,0.780833333,319.4441667,-86.40333333,48.6675,11.79083333
90.12818182,3.295454545,434.1372727,39.21,0.784545455,318.6681818,-86.35636364,48.62,11.85545455
89.68083333,3.2975,434.2358333,38.50833333,0.780833333,319.6516667,-86.30166667,48.65166667,11.85416667
90.70166667,3.278333333,434.2075,39.3075,0.784166667,319.8716667,-86.26,48.66916667,11.9325
90.10363636,3.280909091,434.2490909,38.98363636,0.78,319.6809091,-86.23090909,48.62818182,11.85181818
90.01083333,3.283333333,434.0283333,38.89,0.78,320.4233333,-86.19083333,48.70416667,11.87416667
90.18666667,3.280833333,433.9458333,39.165,0.781666667,320.5391667,-86.17,48.73333333,11.85083333
88.90583333,3.3,433.8041667,38.15083333,0.780833333,320.0333333,-86.16666667,48.6925,11.76
88.84916667,3.3,433.86,38.0425,0.7825,320.0208333,-86.1525,48.70916667,11.76083333
88.45,3.3225,434.0033333,37.75,0.7825,318.9933333,-86.19333333,48.65,11.72333333
88.23333333,3.3275,434.2208333,37.63416667,0.783333333,318.7075,-86.18583333,48.63,11.72333333
90.04083333,3.301666667,434.4725,38.35083333,0.785833333,318.9691667,-86.15916667,48.56583333,11.93166667
86.48,3.325,434.4416667,36.49166667,0.765,318.6166667,-86.19583333,48.66916667,11.64416667
88.25583333,3.319166667,434.4633333,40.83916667,0.7575,316.3733333,-86.51166667,48.57416667,11.4625
91.17583333,3.289166667,434.5925,44.80666667,0.7725,318.1808333,-86.89833333,48.5975,11.31833333
87.41333333,3.306666667,434.3808333,43.245,0.768333333,318.4975,-87.205,48.42666667,10.83166667
85.73666667,3.349166667,434.1666667,43.30583333,0.770833333,313.9958333,-87.795,48.11833333,10.45
85.31833333,3.3875,434.4241667,42.7925,0.774166667,311.4025,-87.80333333,47.81916667,10.45666667
87.16333333,3.4025,434.9416667,43.96416667,0.783333333,309.7466667,-87.72833333,47.4725,10.56
89.09583333,3.379166667,435.2333333,43.89333333,0.786666667,312.8291667,-87.62,47.25333333,10.95666667
89.75666667,3.369166667,435.025,43.71166667,0.789166667,314.2733333,-87.56,47.215,11.07833333
89.685,3.345833333,434.58,43.07583333,0.785833333,316.1,-87.4975,47.11,11.16333333
89.88666667,3.329166667,433.9775,42.92583333,0.785,316.9025,-87.4575,47.1825,11.21416667
89.71583333,3.315833333,433.3591667,42.79083333,0.783333333,317.3933333,-87.4125,47.21083333,11.18333333
89.27416667,3.321666667,433.0425,42.50833333,0.785,317.3291667,-87.35,47.255,11.15083333
88.15583333,3.3375,432.9716667,41.54666667,0.783333333,316.8016667,-87.315,47.30833333,11.1
87.91666667,3.3375,433.25,41.47166667,0.779166667,316.4391667,-87.26666667,47.34666667,11.0825
87.17833333,3.3525,433.66,41.1525,0.778333333,316.015,-87.2625,47.3475,11.0425
87,3.369166667,434.0783333,41.15416667,0.7775,315.2666667,-87.25,47.21666667,11.035
87.31454545,3.401818182,434.5409091,41.20363636,0.78,314.0754545,-87.25727273,47.30181818,11.08454545
88.79416667,3.395,435.12,42.18416667,0.7925,315.2883333,-87.21916667,47.195,11.1725
88.46333333,3.4075,435.4416667,41.71583333,0.79,315.5666667,-87.18333333,47.1875,11.19333333
90.25333333,3.409166667,435.8116667,41.9525,0.795833333,314.9466667,-87.1025,47.22166667,11.45
91.67416667,3.335833333,435.7533333,40.41166667,0.7975,318.3675,-86.97333333,47.30833333,11.9225
90.07666667,3.344166667,435.1233333,38.8,0.791666667,318.915,-86.935,47.4525,11.82583333
89.75,3.351818182,434.2236364,39.04818182,0.790909091,318.0854545,-86.90363636,47.72727273,11.73909091
90.29166667,3.3175,433.5933333,39.84333333,0.7925,318.0225,-86.86083333,47.985,11.72166667
89.075,3.325833333,433.0883333,39.26583333,0.784166667,317.8633333,-86.82666667,48.00083333,11.5825
89.8425,3.286666667,432.7825,40.405,0.7825,317.99,-86.79333333,48.21583333,11.57333333
86.91818182,3.302727273,432.6463636,39.66909091,0.774545455,317.4790909,-86.89909091,48.09090909,11.16454545
87.755,3.298333333,432.715,41,0.780833333,315.9641667,-87.04416667,48.02166667,11.08666667
86.12416667,3.3,433.1741667,40.02583333,0.774166667,315.5591667,-87.18166667,47.91333333,10.94583333
85.19166667,3.343333333,433.5691667,40.18333333,0.773333333,312.8825,-87.4275,47.75916667,10.7475
86.3275,3.333333333,433.9,41.2175,0.781666667,312.3691667,-87.50666667,47.64583333,10.74416667
86.62833333,3.350833333,434.2025,41.3575,0.785833333,312.5716667,-87.50833333,47.395,10.78166667
87.18833333,3.369166667,434.2166667,41.325,0.789166667,311.0858333,-87.51083333,47.2775,10.85833333
86.8475,3.350833333,434.1658333,40.16166667,0.788333333,312.2608333,-87.4225,47.10416667,11.00416667
87.69416667,3.3675,433.9775,40.77,0.79,311.0541667,-87.36916667,47.105,11.07333333
87.52916667,3.3675,433.6191667,40.085,0.788333333,311.8966667,-87.2975,47.0925,11.1275
87.7,3.365,433.3916667,40.36333333,0.789166667,311.7075,-87.25416667,47.21583333,11.1175
87.7725,3.375,433.3558333,40.53333333,0.786666667,311.1091667,-87.22,47.16,11.11416667
88.1775,3.361666667,433.22,41.10416667,0.788333333,311.6516667,-87.17166667,47.26166667,11.08833333
89.19583333,3.338333333,433.22,42.06583333,0.786666667,312.3475,-87.13166667,47.26083333,11.15166667
87.92416667,3.336666667,432.8741667,40.9025,0.780833333,313.5025,-87.10583333,47.17916667,11.07083333
88.25090909,3.326363636,432.6018182,41.42727273,0.780909091,313.2972727,-87.11272727,47.24,11.08636364
89.5875,3.293333333,432.4591667,42.57,0.785,314.3258333,-87.1025,47.19333333,11.13083333
88.70666667,3.28,432.065,42.07333333,0.7825,315.6925,-87.12583333,47.27416667,11.03166667
89.21416667,3.271666667,431.965,42.48666667,0.781666667,315.4241667,-87.15333333,47.22166667,11.065
88.51666667,3.271666667,431.9733333,41.85083333,0.781666667,315.6541667,-87.16333333,47.275,10.99083333
88.93333333,3.2625,431.985,42.16416667,0.784166667,314.8691667,-87.18333333,47.195,11.0075
86.735,3.291666667,431.9625,40.56916667,0.779166667,314.225,-87.21,47.23,10.89583333
88.03818182,3.284545455,432.2109091,41.91363636,0.781818182,312.7572727,-87.23272727,47.16272727,10.95454545
86.91833333,3.309166667,432.5966667,41.2925,0.7725,312.3258333,-87.28083333,47.10333333,10.87166667
88.25666667,3.304166667,432.9041667,42.80666667,0.775833333,312.4075,-87.30666667,47.21666667,10.92
89.2375,3.305833333,433.1683333,43.62916667,0.775,313.2791667,-87.33916667,47.1,10.965
87.69909091,3.301818182,433.0236364,42.95,0.770909091,314.41,-87.41272727,47.14,10.8
86.7225,3.3325,432.7808333,43.35416667,0.768333333,312.9991667,-87.67166667,47.06,10.64083333
86.58666667,3.3575,433.0191667,43.94833333,0.77,311.7233333,-87.8525,47.00083333,10.5325
86.70166667,3.360833333,433.365,43.805,0.773333333,312.2008333,-87.86666667,46.925,10.54583333
85.58,3.3825,433.5816667,43.46416667,0.7725,312.1366667,-87.8775,46.97,10.54166667
87.20333333,3.403333333,434.1325,44.3025,0.776666667,312.3733333,-87.87916667,46.62,10.64166667
88.04416667,3.3925,434.4841667,44.85166667,0.783333333,313.0408333,-87.86,46.5325,10.67833333
87.24666667,3.394166667,434.6091667,43.86583333,0.784166667,313.8633333,-87.8475,46.5175,10.64583333
87.83333333,3.411666667,434.7258333,43.63833333,0.786666667,312.9458333,-87.85333333,46.41916667,10.76
90.17583333,3.365833333,434.8933333,43.71666667,0.788333333,315.4841667,-87.74083333,46.47416667,11.2025
89.90416667,3.349166667,434.7725,43.16333333,0.785833333,317.2733333,-87.68583333,46.48333333,11.23333333
89.88666667,3.325,434.4958333,42.98083333,0.785833333,318.3716667,-87.6425,46.6875,11.18416667
90.0375,3.299166667,434.1841667,43.12583333,0.785833333,318.85,-87.60083333,46.89583333,11.18583333
89.57333333,3.274166667,433.7658333,42.835,0.785,319.3991667,-87.55833333,47.06,11.1175
88.35666667,3.270833333,433.2916667,42.2275,0.778333333,319.3266667,-87.51083333,47.1425,11.02166667
87.28166667,3.285,432.8191667,41.845,0.771666667,317.5266667,-87.49083333,47.1525,10.8925
87.65833333,3.268333333,432.5766667,42.36,0.775,317.0983333,-87.45333333,47.14166667,10.9175
86.85916667,3.259166667,432.165,41.78583333,0.770833333,317.5816667,-87.41916667,47.165,10.82166667
85.6525,3.275833333,431.7941667,41.2075,0.771666667,316.4766667,-87.47583333,47.185,10.69666667
84.7825,3.310833333,431.6383333,40.90833333,0.771666667,314.6541667,-87.63416667,47.16916667,10.585
85.19833333,3.335833333,431.7083333,41.38916667,0.775833333,313.03,-87.69166667,47.02916667,10.61666667
85.835,3.336666667,431.9325,41.78583333,0.778333333,313.3208333,-87.6825,46.85,10.64
86.63916667,3.348333333,431.8583333,42.8025,0.776666667,313.1875,-87.68416667,46.84333333,10.68416667
85.5825,3.3775,431.9808333,42.01166667,0.7725,312.6991667,-87.7425,46.75,10.61666667
86.91,3.3825,432.17,43.21833333,0.774166667,311.5225,-87.7525,46.695,10.6775
87.025,3.38,432.3916667,43.43583333,0.776666667,312.2491667,-87.73833333,46.66166667,10.68833333
88.04666667,3.370833333,432.5175,43.9725,0.784166667,312.875,-87.70583333,46.67916667,10.725
87.7425,3.378333333,432.7433333,43.61833333,0.781666667,312.6308333,-87.71083333,46.6275,10.71916667
87.59333333,3.379166667,433.3483333,43.88083333,0.7775,312.6241667,-87.73083333,46.63666667,10.69916667
89.3275,3.344166667,433.8483333,45.32666667,0.780833333,313.7741667,-87.71166667,46.7,10.76083333
88.485,3.338333333,434.2291667,44.86916667,0.7775,315.2333333,-87.71,46.6025,10.69
88.17,3.335833333,434.4783333,45.07416667,0.774166667,314.9725,-87.775,46.61583333,10.66583333
86.72416667,3.310833333,434.6466667,43.66,0.768333333,316.0175,-87.80333333,46.605,10.565
81.1575,3.274166667,434.4033333,37.79333333,0.746666667,311.5116667,-87.885,46.62916667,10.35166667
79.88666667,3.2125,433.3625,36.32666667,0.7525,308.99,-87.835,46.5025,10.2275
79.74166667,3.2475,432.3333333,36.3525,0.75,308.0933333,-87.79333333,46.49583333,10.2775
80.48333333,3.275,431.8375,36.935,0.75,306.6333333,-87.79083333,46.455,10.30333333
80.7375,3.294166667,431.7358333,37.57,0.75,305.6941667,-87.8075,46.38916667,10.295
81.2,3.309166667,431.8675,38.15166667,0.75,305.3783333,-87.84083333,46.38416667,10.33333333
81.3525,3.311666667,431.8441667,38.3225,0.75,305.1758333,-87.85166667,46.34416667,10.34333333
