eturb_m1_steam_flow_in,eturb_m1_steam_flow_side,eturb_m1_electricity_generation,eturb_m2_steam_flow_in,eturb_m2_steam_flow_side,eturb_m2_electricity_generation
0.885,0.32,0.065833333,0.010833333,0.151666667,0.019166667
-0.648333333,-0.214166667,-0.036666667,0.375,0.3225,0.071666667
0.763333333,0.68,0.025,-0.029166667,0.4225,-0.02
-0.940833333,-0.064166667,-0.100833333,-0.3525,0.154166667,-0.128333333
0.204166667,0.213333333,-0.01,-0.0825,-0.4,-0.005
0.301666667,0.465833333,0.041666667,0.449166667,0.555,0.028333333
1.474166667,0.6675,0.099166667,0.3575,0.153333333,0.060833333
-1.1825,-0.635833333,-0.081666667,0.088333333,0.320833333,-0.008333333
1.128333333,0.713333333,0.075,0.169166667,0.23,0.0425
0.188333333,0.026666667,0.034166667,0.011666667,0.020833333,0.01
0.11,0.0475,-0.036666667,-0.1575,-0.123333333,-0.040833333
-0.32,-0.155,-0.0325,-0.0325,0.1375,-0.008333333
-0.781666667,-0.31,-0.0525,-0.149166667,-0.233333333,-0.0375
0.019166667,-0.1325,0.035,0.043333333,-0.2575,0.03
1.295833333,0.464166667,0.1225,-0.1,-0.294166667,0.035833333
-1.425833333,-1.0975,-0.083333333,0.290833333,-0.2425,0.058333333
0.290833333,0.054166667,0.0575,-0.109166667,0.135,0.003333333
-1.476666667,-0.989166667,-0.080833333,-0.606666667,-0.448333333,-0.076666667
0.334166667,0.045833333,0.064166667,0.32,-0.231666667,0.1025
-0.114166667,-0.436666667,0.023333333,-0.230833333,-0.843333333,-0.004166667
0.805,0.403333333,0.1,0.66,0.525,0.1425
-0.846666667,-0.570833333,-0.020833333,-0.353333333,-0.291666667,-0.048333333
0.136666667,-0.2925,0.034166667,0.898333333,0.211666667,0.155
0.745833333,0.685,0.058333333,-1.020833333,-0.430833333,-0.1625
-0.7425,-0.374166667,-0.075833333,0.279166667,0.291666667,0.003333333
0.459166667,0.690833333,0.031666667,0.338939394,0.828030303,0.025984848
0.05,0.001666667,0.016666667,-0.149772727,-0.38969697,0.013181818
0.4075,0.239166667,-0.010833333,-0.056666667,0.115833333,-0.019166667
-0.913333333,-0.479166667,-0.049166667,-0.615,-0.28,-0.0975
0.480833333,0.376666667,0.06,-4.026666667,-0.781666667,-0.753333333
0.235,0.386666667,0.02,1.0575,0.614166667,0.104166667
0.645833333,0.538333333,0.038333333,2.18,0.998333333,0.414166667
0.126666667,-0.013333333,-0.028333333,-0.189166667,-0.574166667,-0.014166667
0.069166667,0.113333333,0.01,1.42E-14,0.086666667,-0.009166667
