日期,实际产量,实际能耗
2014/2/19,9825.542,513504.1087
2014/5/17,8688.32,453999.1425
2013/12/8,9595.6965,501401
2014/2/7,7091.1334,370002.3029
2014/1/3,8359.528,435446
2014/2/22,9675.6686,503758.3736
2014/5/16,8469.6385,440848.4303
2014/2/23,9114.0775,473377.0822
2013/11/9,9844.0644,510990
2014/2/24,8800.6054,456308.5587
2014/1/29,6895.951,357502.6489
2014/5/15,7182.2305,372192.1397
2014/1/11,7373.9635,382037.9387
2013/12/26,9479.0341,490953
2014/2/25,8896.5306,460596.873
2014/2/1,9391.0968,484278
2014/2/26,9995.0137,515393.8313
2014/2/2,9008.9526,464378.4347
2013/12/23,9707.2,500096
2014/1/12,9277.9166,477780.564
2014/2/27,9399.9834,483972.3833
2014/1/7,8941.121,460342.5558
2014/1/30,9897.548,509287.9347
2014/2/6,9077.1268,466861.3993
2014/2/28,9053.0115,465336.3802
2014/3/1,10029.0997,514579.7121
2013/12/4,9457.574,484564
2014/1/10,7706.7695,394835.2646
2014/4/29,9873.892,505702.4526
2014/3/2,8703.9755,445721.7074
2014/4/28,9495.518,485962.2916
2014/3/4,8045.552,411443.226
2014/4/27,9261.343,473465.4838
2014/1/13,9389.643,479925.6265
2014/2/5,7079.6125,361850.2304
2013/12/9,9450.134,482524
2014/1/9,9097.2,464156.6587
2014/3/5,8538.7145,435632.4107
2014/4/26,6645.295,338817.6696
2014/1/25,8152.3675,415458.4604
2013/12/12,9378.8445,477687
2014/3/7,9578.938,487296.8156
2014/5/14,7896.8805,401682.0541
2014/5/13,9699.2088,493323.8633
2014/3/9,9352.435,475535.8707
2014/3/10,9806.3705,498201.3431
2014/4/25,8090.576,410889.0986
2014/5/12,6264.7315,318061.2388
2014/3/6,9209.9615,467555.9347
2014/1/14,9577.3925,486025.5857
2014/3/3,7224.206,366518.2964
2014/1/19,8599.482,436083.9684
2014/3/8,8744.8735,442662.7617
2014/1/18,7540.0312,381566.1975
2013/11/23,9281.919,469564
2013/12/5,9529.417,481997
2014/1/20,9476.0285,478935.3602
2013/11/30,9910.261,500365
2014/1/17,7233.897,364910.9665
2014/3/11,8595.5405,433202.7662
2014/1/15,10082.447,507526.2326
2014/1/16,8658.09,434756.5983
2014/4/24,9397.137,471664.1544
2014/5/11,9587.9827,481211.771
2014/3/31,9336.2388,468046.6959
2014/3/27,9382.7564,470378.728
2014/5/10,9090.3773,455715.1569
2014/3/25,9066.4371,454296.0078
2014/3/29,9304.1405,466206.7181
2013/12/30,9471.556,474576
2014/1/27,7156.5859,358443.1869
2014/1/8,8414.6839,421205.4173
2014/3/28,7044.6491,352506.867
2014/3/24,9951.5308,497964.1846
2014/3/30,10348.4871,517826.5661
2014/3/26,10456.4242,523227.6163
2014/5/9,9288.09,463924.9955
2014/5/3,9434.8965,470968.1411
2014/4/9,7851.0689,391403.6116
2014/4/30,9776.791,487407.6837
2013/12/10,9971.3285,496942
2014/3/23,8540.0963,425376.5273
2014/4/23,10538.8215,524872.2609
2013/12/3,9687.0891,482302
2013/11/15,9679.8455,481687
2014/3/21,9597.829,477169.9316
2014/4/10,8995.987,447150.7237
2014/5/8,9354.59,464970.246
2014/3/22,9550.7985,474342.6183
2014/4/22,7799.2645,387295.904
2014/3/20,9089.4745,451168.3102
2014/3/19,10163.1108,504140.546
2014/4/21,10187.397,504767.6631
2014/4/11,10270.2075,508216.3241
2014/3/12,9370.561,463592.4813
2014/5/4,10744.5125,531527.425
2013/12/14,10151.9737,502187
2014/4/12,9967.0386,492857.6528
2014/3/16,10108.2579,499476.4251
2014/5/2,10101.7873,499062.4417
2014/3/14,9502.402,469427.8496
2013/11/25,9326.025,460519
2014/4/2,10064.4503,496934.0656
2014/5/7,9195.2145,453833.79
2014/3/13,8669.1565,427816.8484
2014/2/3,9529.8515,470258.0425
2014/3/17,10723.9835,529180.816
2014/4/4,9921.2456,489533.9341
2014/4/8,8856.5163,436962.756
2014/3/18,9335.141,460494.1076
2014/3/15,8086.8585,398401.4163
2014/2/4,9514.7742,468728.6009
2013/12/11,9572.9045,471505
2014/5/1,9625.2625,473693.163
2014/4/19,9677.4945,475942.4378
2014/4/18,10335.0605,508172.6565
2014/5/6,9761.9405,479780.9666
2014/4/20,10252.1355,503734.3233
2013/11/18,10172.668,499115
2014/5/5,10505.1045,515309.4373
2014/1/28,9119.2188,447272.7818
2014/4/5,9645.876,472807.2927
2014/4/16,9510.7285,465276.1195
2014/4/17,10116.861,494730.2653
2014/4/14,10779.5365,527046.2686
2014/4/15,8914.3732,435649.1285
2014/4/13,9591.368,467295.7778
2014/1/24,7885.1763,383895.7261
2014/4/3,9350.7172,454907.6666
2014/4/7,10881.514,529329.4468
2014/4/1,9458.9539,459560.5654
2014/1/23,7221.153,350200.8563
2014/1/22,5443.6583,263016.2741
2013/12/29,10529.3275,504131
2014/1/21,9717.4898,462559.5273
2014/1/1,10604.12,503433
2014/1/6,9969.3325,472333
2013/12/16,10412.8688,492704
2013/11/24,9604.9925,452288
2013/12/1,10357.684,480463
2014/1/4,10449.4678,484203
2014/9/4,8019.8625,363155.1799
2014/1/26,9227.246,415258
2013/12/7,10422.3975,465578
2014/9/3,7588.2755,328040.0989
