,ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_pressure_in,ExtCondensTurbineOP.steam_temperature_in,ExtCondensTurbineOP.electricity_generation,ExtCondensTurbineOP.steam_pressure_out,ExtCondensTurbineOP.steam_temperature_out,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.steam_pressure_side,ExtCondensTurbineOP.steam_temperature_side
2020/9/4 0:00,78.16166667,3.294166667,420.915,11.64416667,-87.43583333,51.46666667,15.7375,0.846666667,305.4225
2020/9/4 0:01,77.085,3.286666667,420.6433333,11.52833333,-87.28333333,51.67666667,15.22583333,0.836666667,305.7816667
2020/9/4 0:02,77.12,3.269166667,420.5016667,11.5125,-87.29833333,51.845,15.44583333,0.835833333,306.015
2020/9/4 0:03,76.83,3.273333333,420.4308333,11.50416667,-87.29166667,51.93583333,15.47833333,0.834166667,306.1866667
2020/9/4 0:04,77.21333333,3.261666667,420.4066667,11.50583333,-87.26583333,51.99,15.8275,0.835833333,306.3275
2020/9/4 0:05,77.78666667,3.260833333,420.4725,11.435,-87.28,52.01166667,18.1425,0.813333333,306.2958333
2020/9/4 0:06,77.85833333,3.265,420.4641667,11.41166667,-87.27666667,51.97916667,19.10416667,0.805,305.9775
2020/9/4 0:07,78.28,3.244545455,420.2936364,11.41909091,-87.27181818,51.90363636,19.51090909,0.81,305.9
2020/9/4 0:08,78.31083333,3.2375,419.9466667,11.40166667,-87.27583333,51.83916667,19.46833333,0.81,306.0033333
2020/9/4 0:09,76.75666667,3.285833333,419.48,11.32,-87.27333333,51.82333333,18.77916667,0.8,305.865
2020/9/4 0:10,77.40545455,3.297272727,419.3663636,11.37363636,-87.26181818,51.77454545,19.21636364,0.8,305.39
2020/9/4 0:11,77.93083333,3.3025,419.4675,11.415,-87.25416667,51.7175,19.5325,0.8025,304.9375
2020/9/4 0:12,78.18333333,3.299166667,419.5,11.44333333,-87.24166667,51.6775,19.66833333,0.8025,304.7066667
2020/9/4 0:13,79.28727273,3.3,419.5609091,11.52818182,-87.23909091,51.67090909,20.22090909,0.809090909,304.4490909
2020/9/4 0:14,79.18416667,3.2625,419.9658333,11.47833333,-87.22833333,51.66083333,20.17583333,0.8125,304.6808333
2020/9/4 0:15,79.84666667,3.265,420.8258333,11.54583333,-87.22666667,51.7225,20.40083333,0.815,305.1325
2020/9/4 0:16,80.11181818,3.207272727,421.5745455,11.49909091,-87.21818182,51.74818182,20.65090909,0.819090909,306.0818182
2020/9/4 0:17,78.55,3.23,422.39,11.41916667,-87.20083333,51.79833333,19.91916667,0.806666667,306.9833333
2020/9/4 0:18,79.372,3.249,422.885,11.505,-87.174,51.803,20.287,0.81,307.434
2020/9/4 0:19,80.07909091,3.249090909,423.6063636,11.57090909,-87.16454545,51.77090909,20.89909091,0.817272727,307.9154545
2020/9/4 0:20,78.9225,3.26,424.4341667,11.51833333,-87.16083333,51.76416667,20.14916667,0.811666667,308.4508333
2020/9/4 0:21,79.99416667,3.248333333,424.7625,11.60166667,-87.14583333,51.76,20.70166667,0.821666667,308.9883333
2020/9/4 0:22,78.13416667,3.271666667,424.9633333,11.50583333,-87.15583333,51.78,19.8075,0.81,309.51
2020/9/4 0:23,78.47333333,3.293333333,425.0958333,11.53583333,-87.15083333,51.785,19.98,0.81,309.46
2020/9/4 0:24,79.08333333,3.308333333,425.1008333,11.59416667,-87.1375,51.7775,20.36666667,0.811666667,309.395
2020/9/4 0:25,79.15083333,3.294166667,425.1558333,11.59416667,-87.13666667,51.76583333,20.41583333,0.814166667,309.3475
2020/9/4 0:26,80.25083333,3.2225,424.9658333,11.5725,-87.155,51.77,20.875,0.8225,309.9025
2020/9/4 0:27,77.58416667,3.2675,424.5741667,11.415,-87.19166667,51.79916667,19.83083333,0.8,310.1725
2020/9/4 0:28,78.69333333,3.246666667,423.8533333,11.45583333,-87.19083333,51.76916667,20.60166667,0.804166667,309.9016667
2020/9/4 0:29,78.905,3.250833333,423.41,11.46916667,-87.18083333,51.7125,20.7975,0.805833333,309.9
2020/9/4 0:30,82.231,3.241,422.839,11.697,-87.171,51.674,22.19,0.826,309.862
2020/9/4 0:31,82.97833333,3.243333333,422.225,11.77916667,-87.14583333,51.6975,22.61666667,0.8325,310.6933333
2020/9/4 0:32,83.0175,3.304166667,422.0641667,11.83666667,-87.1425,51.81166667,22.74666667,0.833333333,310.9666667
2020/9/4 0:33,83.9875,3.255,422.8316667,11.8775,-87.13166667,51.8875,23.32583333,0.839166667,311.1775
2020/9/4 0:34,83.40090909,3.247272727,423.5354545,11.82181818,-87.12818182,51.96545455,23.17818182,0.838181818,311.7809091
2020/9/4 0:35,83.51583333,3.248333333,423.9158333,11.81916667,-87.13583333,52.045,23.085,0.835,312.29
