eturb_m2_k1,eturb_m2_k2,eturb_m2_R2
-0.0029308388625298035,-0.01551316828103291,0.028264293698155973
-0.00438498452184066,-0.027674882234677584,0.086158406540781
-0.003207463885376351,-0.02595760767699102,0.04370082978228573
0.0015262312059536062,0.0005097007707846415,-0.0017752304814444564
0.0020561356213067766,0.022700431035807135,0.007225188723930853
0.007402590951372031,0.05398318359273441,0.07435613802746976
0.136747539763575,0.028485555613613215,0.739379197365234
0.20758017265185078,-0.06410445170479101,0.9541475137895126
0.09338579726198859,0.06564055728049577,0.5468860530209602
0.09306940072110727,0.03807248791105913,0.47141196651767525
0.09622308418540944,0.03248804682849625,0.48601943678981563
0.09376245847159152,0.022169821953717687,0.4537973730624202
0.03240867146368603,-0.05220158414725902,0.1590265095791391
0.01667162657860235,-0.07697107559960255,0.2861713018451918
0.09115381731468172,-0.06270977408980113,0.6374478218857158
0.09979028343932775,-0.06187388496806472,0.7368738217847671
0.08225124229358857,-0.058171980544402875,0.5993581735571103
0.08248862449599907,-0.056698675840875845,0.6200611604668302
0.02967653011478146,-0.04225324878885422,0.29216241007230825
0.010099501239730682,-0.02251036340808201,0.09151662274772421
0.0025813493320789274,-0.04363989702717215,0.15301254608976822
-0.0014426549426974733,-0.04998039463378592,0.23263217641426792
-0.0028919014342093548,-0.054237002838598725,0.2121973649108777
-0.004274351017924388,-0.06664140155659293,0.2766779532572743
-5.180918335056329e-05,-0.04541143386438035,0.08530502280761121
0.005949633803421019,-0.06795668172397754,0.19081169784523266
0.0007125799217696946,-0.0750932210307583,0.19186868806518897
-0.0016696091507097867,-0.0766460055563702,0.22260004331061467
0.0003373127771006225,-0.05625145492165226,0.1406841584071351
0.003287658052268917,-0.039663718479905005,-0.03187929139271439
-7.035576379421935e-05,-0.05474709386705232,0.028064409011619218
0.000230515848941225,-0.04476375592012416,0.05547602388325368
0.002920964048183561,-0.03284811427045947,0.11277235223354032
0.19862006670219248,-0.05576053278920794,0.7345563641214011
