eturb_m1_delta_k1,eturb_m1_delta_k2,eturb_m1_delta_R2
0.10857916066454529,-0.031075258493308285,0.8941725156912247
0.122128475411582,-0.043690209554437254,0.9005403544625852
0.12399283521845575,-0.04351809672189457,0.8971381785976564
0.12185688352946045,-0.05607862423631145,0.8899071584496264
0.11553363491565757,-0.04923519704743425,0.8859647079524163
0.12230571865413618,-0.06603588609214557,0.87719690496282
0.1141773430039072,-0.06519689031823742,0.8712015051680776
0.11868357191139142,-0.07740900303054767,0.8419491671980337
0.11848348721662735,-0.0699443495049552,0.8303719330036244
0.1363020755509105,-0.090854495159851,0.8194506250870928
0.14612316405225495,-0.0971596327202371,0.8597164796712781
0.13985548354971328,-0.07931482064997551,0.8673365536286918
0.14159171035156004,-0.07314385000626737,0.8691040823702839
0.14236411993909637,-0.06699663814824038,0.9140049251860316
0.1434548769777119,-0.06422505845369589,0.9186796371244311
0.1359176264044583,-0.051883917317749426,0.9124235273856676
0.13255741121304576,-0.050209398415304377,0.8894287729059229
0.13599539888305687,-0.0496800196501966,0.8895682101952873
0.13791784565341175,-0.06097477396332545,0.9224759059339636
0.14001313022825843,-0.053711568779018795,0.9204266192782031
0.1324902192210216,-0.04734680235565144,0.8981209517060516
0.12727964139491338,-0.04229648472962808,0.918394161531019
0.12965781073176505,-0.04997012795434115,0.9064753844147405
0.14407672115815842,-0.07272834892496674,0.9207245381595486
0.15157871596880002,-0.07979748926165389,0.9047078350141947
0.1509456771639033,-0.08303482422931388,0.8917061425618884
0.1571667199427869,-0.10397949259127817,0.9190207551531107
0.16858495139804386,-0.12302142853276733,0.921340590291529
0.15600633799517788,-0.10975534031338341,0.9231689074123289
0.144720007214995,-0.10733058142133739,0.9184818589854418
0.12914753717987726,-0.08974178002922592,0.935079620377189
0.12969605842135992,-0.0921619762185243,0.9534549811042089
0.11014959967742048,-0.06509325474619776,0.9506028856950125
0.10933378181133205,-0.06578294748864401,0.9496107022308685
0.11076374790845105,-0.06807575555622918,0.949839505451211
0.10485912161002067,-0.05720923201608544,0.9604688023307749
0.09892575393020737,-0.04718888665541545,0.9512909144156294
0.0981479120996358,-0.044364623525096264,0.9145230590782801
0.11120605864282039,-0.06388669050383489,0.9017443519402337
0.10613956146378975,-0.05772063882253332,0.9073323582768054
0.10383155587622965,-0.05669986299409992,0.8968732334781185
0.10149704461856024,-0.05544510200455508,0.8548143083371067
0.1070969934338118,-0.06161595366890273,0.9135916848908853
0.1240628837940527,-0.08151964871088663,0.9331527512574114
0.12742328096171374,-0.07587867966730905,0.946587530596033
0.13261387425319904,-0.07756351552894472,0.9672236343906306
0.13338907235986444,-0.07646638064050397,0.9757956862698396
0.1329406678445807,-0.07518735650016306,0.9779496303590203
0.1342343424269832,-0.06781477542809283,0.9850445586322295
0.13384306541723112,-0.06936371174775817,0.9828435545139055
0.11132903275518999,-0.009225876100696384,0.9793252496719038
0.11032491075862037,-0.005703325529263544,0.976328871352941
0.11605367852251139,-0.01950229885104618,0.970417005867754
0.12963215521800575,-0.05223907666040388,0.9701525684972275
0.12891419798249484,-0.0478702385712227,0.970468932308023
0.11782882897232197,-0.015502090033368488,0.9745821406455785
0.126055696416335,-0.04064500282939175,0.9727093895575526
0.12355940455511652,-0.0469604627459884,0.9689972590597192
0.12347731444158917,-0.04763612543627067,0.9685161747587685
0.11812969025426294,-0.036066571299497766,0.9611773586947517
0.1681081907913296,-0.1638321814881759,0.9428100064625398
0.17283058600245313,-0.17473756689064543,0.9304890861385308
0.1729763261789901,-0.16367236451517128,0.9167181471651622
0.18180975784562706,-0.08587763282915853,0.9287483522845262
0.058848481849243885,0.17571961752666215,0.609394608882636
0.04706431224137122,0.13913444080203977,0.6936119936569978
0.03798730266812234,0.12168341928547728,0.8187817257000676
0.03647377554350867,0.11934963016975951,0.8410673179662213
0.0373325207554968,0.10664561231552593,0.844692208975617
0.039126163881379086,0.10187147303769219,0.8346011615640719
0.05625309994163554,0.07239796731442655,0.8804609970907259
0.09383863688974126,0.0017415541853505623,0.8645535141954104
0.11232260510896026,-0.02019280774138921,0.8225529082769313
0.11486395159134338,-0.01702357869067276,0.8267252718534919
0.10808801448629067,0.002403250906927141,0.8307106886725771
0.10494409502339422,0.008731070134053448,0.8036455600678214
0.0882267073535684,0.053656857487965504,0.7869805237199489
0.08876989178413404,0.07499124889795256,0.9053132315151322
0.08738584153547796,0.083521692588252,0.849924737057006
0.08999926925156357,0.05423864704431647,0.8789920995976304
0.13493195924721332,-0.02689934567002263,0.8225378795470819
0.14409036241120557,-0.0574527643424014,0.7648122918594255
0.16083155514721126,-0.10051416683735803,0.7838534088746367
0.16213617021346197,-0.10930831747742016,0.7822019079106189
0.1618831693365213,-0.12580068305401793,0.7819340617200032
0.14983998845542973,-0.1894033376907411,0.7265592046974998
0.15054933194163897,-0.15356645833937316,0.6969469866324873
0.13617532080612588,-0.11295297237782438,0.7197225912136247
0.1262085965626069,-0.08195383892611834,0.7217248978569536
0.11239940372176814,-0.04646707047209239,0.7155075635876503
0.12090175711099405,-0.05081389829417357,0.6511282132449843
0.12835486477438332,-0.054328487170879514,0.7060755235712455
0.14940834048284257,-0.06097044592567375,0.7765277355567879
0.15280554535973268,-0.06304183711665723,0.8089541969709001
0.15747285959361856,-0.06528887156488929,0.8426994637517136
0.14790847083202005,-0.06105396747046387,0.8370689874603069
0.11777197180460393,-0.008756558230550859,0.920514968723871
0.10053006268886881,0.003440019753290913,0.9242955940685036
0.10105345701485582,-0.013601666076324424,0.9136990065188098
0.09288689041299712,0.00010078942082366366,0.9031376712978247
0.1080500268230348,-0.03722462208394322,0.8920276681675201
0.11039157283523977,-0.04867915300320368,0.8898616709591403
0.10547774221076438,-0.03889138911164558,0.8828248631688362
0.11356655955501839,-0.047421120731162836,0.8617951994298301
0.11274120539139106,-0.041445575123181096,0.8786280287123558
0.12143492352689698,-0.0539382156207772,0.8899736874251634
0.1098127619722173,-0.03663630476691938,0.8903399447226037
0.10348026428440275,-0.014921161405073725,0.9031729040721446
0.12548295452579147,-0.043715000879783396,0.927448470557394
0.12743068590071513,-0.04434503408216578,0.9289303360769768
0.1283899079513729,-0.04556580776992228,0.9252811863339887
0.12518778918226256,-0.0489732360483685,0.9101366957918506
0.13389593394961943,-0.05547503704031748,0.9196959426158132
0.13110149643758223,-0.0466968367169534,0.8968426839890158
0.12487235601527877,-0.03848655921876367,0.8816139103900742
0.11679131416058809,-0.023373290426586524,0.8394158270111038
0.1134515315626021,-0.017344771212928718,0.7881914294873025
0.12497926473612668,-0.02051729707276431,0.8151165220988859
0.11379785962726982,0.0011378935355499994,0.8945267200538404
0.10530375707238587,0.014981863398841196,0.9387115791884812
0.10774281250531335,-0.0020624577658059297,0.9173190454668831
0.11473897740741035,-0.026419459018291607,0.9088250588922985
0.12004184676480321,-0.037655193402125614,0.9210106412685458
0.11704500300817884,-0.03650576831618737,0.930329614650481
0.11998375533282711,-0.042871570072838254,0.9191801816491546
0.1238076443907223,-0.05072521817137597,0.8931716437080236
0.1347966656761771,-0.04912637945119347,0.9001718840848234
0.1409832591683459,-0.04639219780986519,0.9081165082152075
0.14453177614195067,-0.05262682201383632,0.8909893270580509
0.1589340831229912,-0.04405169729229244,0.8971758725800122
0.1580490806799348,-0.03668398656372524,0.9073919813241503
0.15593443433004678,-0.04793737474992731,0.9188620404037564
