time,ExtCondensTurbineOP.electricity_generation_eturb_m2,ExtCondensTurbineOP.steam_flow_side_eturb_m1,ExtCondensTurbineOP.hp_steam_machine_opt_array_eturb_m1,SteamPipelineOP.lp_steam_actual,SteamPipelineOP.electricity_power_ext,ExtCondensTurbineOP.hp_steam_machine_opt_array_eturb_m2,ExtCondensTurbineOP.electricity_machine_opt_array_eturb_m1,ExtCondensTurbineOP.lp_steam_machine_opt_array_eturb_m1,ExtCondensTurbineOP.steam_flow_in_eturb_m2,ExtCondensTurbineOP.lp_steam_machine_opt_array_eturb_m2,ExtCondensTurbineOP.steam_flow_in_eturb_m1,SteamPipelineOP.electricity_price_ext,ExtCondensTurbineOP.electricity_machine_opt_array_eturb_m2,SteamPipelineOP.lp_steam_pred_avg,SteamPipelineOP.electricity_power_pred_avg,SteamPipelineOP.electricity_power_actual,ExtCondensTurbineOP.electricity_generation_eturb_m1,SteamPipelineOP.total_cost_actual,SteamPipelineOP.total_cost_optim_array,ExtCondensTurbineOP.steam_flow_side_eturb_m2
2020-09-11 00:00:00,10.418333333333333,30.710000000000004,85.85880549670442,48.96916666666666,1.8150000000000002,81.21130549670448,12.02875000000001,29.407930555555627,75.175,26.96543055555555,83.65499999999999,0.32036875,11.891250000000037,58.96136111111112,23.909999999999997,22.685000000000002,11.494166666666667,17679.803349475,18210.393163816152,26.729166666666668
2020-09-11 00:01:00,10.308181818181817,31.224999999999998,85.85880549670442,49.30083333333334,1.584,81.21130549670448,12.02875000000001,29.407930555555627,73.37636363636365,26.96543055555555,85.48333333333333,0.32036875,11.891250000000037,58.96136111111112,23.909999999999997,22.758333333333336,11.646666666666667,17758.283993475005,18210.393163816152,24.734545454545454
2020-09-11 00:02:00,10.358333333333333,32.31666666666667,85.85880549670442,50.20166666666666,1.1275000000000002,81.21130549670448,12.02875000000001,29.407930555555627,73.86500000000001,26.96543055555555,86.79333333333334,0.32036875,11.891250000000037,58.96136111111112,23.909999999999997,22.462499999999995,11.726666666666665,18164.5793731,18210.393163816152,25.328333333333333
2020-09-11 00:03:00,10.351666666666667,31.769999999999996,85.85880549670442,52.74583333333333,1.35,81.21130549670448,12.02875000000001,29.407930555555627,74.19083333333333,26.96543055555555,85.87916666666666,0.32036875,11.891250000000037,58.96136111111112,23.909999999999997,22.386666666666667,11.64333333333333,17879.52251745,18210.393163816152,25.969166666666663
2020-09-11 00:04:00,10.440833333333332,32.1125,69.25433255999727,53.69416666666667,1.3475000000000001,60.494331986369936,8.032498784488556,30.141923314356852,74.98083333333334,26.42691001902022,85.99666666666668,0.32036875,7.032501215112525,59.19091666666665,23.055,22.6675,11.609166666666667,17286.298126775004,16705.361110166887,27.02
2020-09-11 00:05:00,9.745833333333332,33.163333333333334,69.25433255999727,51.143333333333324,2.07,60.494331986369936,8.032498784488556,30.141923314356852,71.11333333333333,26.42691001902022,86.84249999999999,0.32036875,7.032501215112525,59.19091666666665,23.055,22.48833333333333,11.627499999999998,17798.3117603,16705.361110166887,25.63916666666667
2020-09-11 00:06:00,9.35,31.802499999999995,69.25433255999727,50.76916666666667,2.607,60.494331986369936,8.032498784488556,30.141923314356852,67.96833333333333,26.42691001902022,83.26583333333333,0.32036875,7.032501215112525,59.19091666666665,23.055,22.395,11.22,17654.414842299997,16705.361110166887,24.370000000000005
2020-09-11 00:07:00,9.405,33.446666666666665,69.25433255999727,52.395,2.541,60.494331986369936,8.032498784488556,30.141923314356852,70.57333333333332,26.42691001902022,85.36083333333333,0.32036875,7.032501215112525,59.19091666666665,23.055,22.337499999999995,11.354166666666666,17877.342547250002,16705.361110166887,27.56
2020-09-11 00:08:00,9.2975,33.274166666666666,69.25433255999727,53.86166666666668,3.2449999999999997,60.494331986369936,8.032498784488556,30.141923314356852,69.40166666666666,26.42691001902022,84.48083333333334,0.32036875,7.032501215112525,59.19091666666665,23.055,22.877499999999998,11.291666666666666,17839.444963425,16705.361110166887,27.0825
2020-09-11 00:09:00,9.355833333333331,32.8875,69.25433255999727,55.5675,2.64,60.494331986369936,8.032498784488556,30.141923314356852,70.25,26.42691001902022,84.57000000000001,0.32036875,7.032501215112525,59.19091666666665,23.055,22.331666666666667,11.375,17959.08627935,16705.361110166887,28.085000000000004
2020-09-11 00:10:00,9.313333333333334,34.27333333333333,69.25433255999727,54.154999999999994,2.9150000000000005,60.494331986369936,8.032498784488556,30.141923314356852,70.1175,26.42691001902022,85.59749999999998,0.32036875,7.032501215112525,59.19091666666665,23.055,22.650833333333328,11.385833333333336,17690.661997275,16705.361110166887,28.3425
2020-09-11 00:11:00,9.425,33.625,69.25433255999727,54.53666666666666,2.805,60.494331986369936,8.032498784488556,30.141923314356852,70.87833333333333,26.42691001902022,85.91833333333335,0.32036875,7.032501215112525,59.19091666666665,23.055,22.680833333333336,11.51833333333333,18024.749297625,16705.361110166887,28.44
2020-09-11 00:12:00,9.438333333333333,33.62666666666667,74.67153906972075,54.39333333333332,3.1075000000000004,58.45403849609349,8.842498784676163,33.59332609211405,70.70916666666666,27.69331279677738,84.86333333333334,0.32036875,6.6350012153001465,63.88180555555555,23.467499999999998,22.879166666666666,11.355833333333331,18026.943002225005,17073.439597570494,28.284166666666668
2020-09-11 00:13:00,10.096666666666666,31.764166666666657,74.67153906972075,53.16749999999999,2.579999999999999,58.45403849609349,8.842498784676163,33.59332609211405,75.19416666666667,27.69331279677738,82.1675,0.32036875,6.6350012153001465,63.88180555555555,23.467499999999998,22.36833333333333,11.135,17911.87476555,17073.439597570494,30.02416666666667
