time,ExtCondensTurbineOP.hp_steam_machine_opt_array_x,ExtCondensTurbineOP.steam_flow_side_x,SteamPipelineOP.lp_steam_pred_avg,ExtCondensTurbineOP.electricity_machine_opt_array_x,SteamPipelineOP.electricity_power_pred_avg,ExtCondensTurbineOP.lp_steam_machine_opt_array_x,ExtCondensTurbineOP.electricity_generation_x,SteamPipelineOP.electricity_price_ext,SteamPipelineOP.total_cost_actual,ExtCondensTurbineOP.lp_steam_machine_opt_array_y,SteamPipelineOP.electricity_power_actual,ExtCondensTurbineOP.electricity_machine_opt_array_y,ExtCondensTurbineOP.electricity_generation_y,ExtCondensTurbineOP.steam_flow_in_x,SteamPipelineOP.lp_steam_actual,SteamPipelineOP.total_cost_optim_array,ExtCondensTurbineOP.hp_steam_machine_opt_array_y,ExtCondensTurbineOP.steam_flow_side_y,ExtCondensTurbineOP.steam_flow_in_y,SteamPipelineOP.electricity_power_ext
2020-10-11 00:16:00,70.00000000001195,37.685,64.63788888888888,8.155396033333844,22.474,32.24388888890456,8.53,0.28351216814,13534.959679920723,29.99999999997336,22.110833333333336,9.003364857150896,10.406666666666666,72.79416666666667,57.20500000000001,13579.69144580745,70.00000000003335,22.5475,73.44999999999999,3.9324999999999997
2020-10-11 00:17:00,70.00000000001195,37.5625,64.63788888888888,8.155396033333844,22.474,32.24388888890456,8.468333333333334,0.28351216814,13616.710840208161,29.99999999997336,21.976666666666663,9.003364857150896,9.507499999999999,68.26416666666667,59.95333333333334,13579.69144580745,70.00000000003335,22.843333333333334,73.2375,4.702500000000001
2020-10-11 00:18:00,70.00000000001195,37.29999999999999,64.63788888888888,8.155396033333844,22.474,32.24388888890456,8.371666666666664,0.28351216814,13694.910112865398,29.99999999997336,22.081666666666667,9.003364857150896,9.068333333333335,67.21749999999999,57.896666666666654,13579.69144580745,70.00000000003335,25.058333333333334,72.68583333333333,5.250000000000001
2020-10-11 00:19:00,70.00000000001195,37.75416666666666,64.63788888888888,8.155396033333844,22.474,32.24388888890456,8.354166666666666,0.28351216814,13655.437927230361,29.99999999997336,22.084166666666665,9.003364857150896,8.950833333333334,66.92416666666666,58.68416666666667,13579.69144580745,70.00000000003335,25.650833333333335,72.88749999999999,5.555000000000001
2020-10-11 00:20:00,70.00000000001195,37.935833333333335,64.63788888888888,8.155396033333844,22.474,32.24388888890456,8.4075,0.28351216814,13705.00054356264,29.99999999997336,21.77,9.003364857150896,8.946666666666667,67.30916666666667,57.01083333333333,13579.69144580745,70.00000000003335,26.24333333333333,73.59750000000001,5.417500000000001
2020-10-11 00:21:00,69.99999999999983,37.02083333333334,64.65816666666663,8.039905600000084,22.997999999999998,32.4579999999989,8.288333333333332,0.28351216814,13475.313482869678,30.000000000002053,22.261666666666667,8.762041428571223,8.865,66.31166666666668,55.6225,13829.412893521318,69.99999999999982,25.269166666666663,72.65916666666666,6.104999999999998
2020-10-11 00:22:00,69.99999999999983,37.60583333333334,64.65816666666663,8.039905600000084,22.997999999999998,32.4579999999989,8.415,0.28351216814,13279.730358252451,30.000000000002053,22.046666666666663,8.762041428571223,8.890833333333331,66.62583333333333,57.22666666666667,13829.412893521318,69.99999999999982,25.291666666666668,73.54833333333332,5.5825
2020-10-11 00:23:00,69.99999999999983,36.225,64.65816666666663,8.039905600000084,22.997999999999998,32.4579999999989,8.19,0.28351216814,13241.253497177398,30.000000000002053,21.77083333333333,8.762041428571223,8.859166666666667,65.65833333333332,58.3075,13829.412893521318,69.99999999999982,24.482499999999998,71.4675,5.7475
2020-10-11 00:24:00,69.99999999999983,37.994166666666665,64.65816666666663,8.039905600000084,22.997999999999998,32.4579999999989,8.335833333333332,0.28351216814,13358.34044409075,30.000000000002053,22.139999999999997,8.762041428571223,8.863333333333335,61.11750000000001,55.696666666666665,13829.412893521318,69.99999999999982,19.099999999999998,72.61999999999999,6.1499999999999995
2020-10-11 00:25:00,69.99999999999983,39.359166666666674,64.65816666666663,8.039905600000084,22.997999999999998,32.4579999999989,8.398333333333333,0.28351216814,13709.75257335036,30.000000000002053,21.596666666666664,8.762041428571223,9.010833333333332,62.08416666666667,55.22749999999999,13829.412893521318,69.99999999999982,19.754999999999995,73.1425,5.390000000000001
2020-10-11 00:26:00,70.00000000000024,39.530833333333334,64.7727222222222,8.198849583333608,22.581999999999997,32.51372222222008,8.461666666666666,0.28351216814,13378.03015230528,30.00000000000263,22.258333333333336,9.178949428571032,9.0725,64.40083333333332,54.41166666666666,13548.210787252538,69.999999999999,22.874166666666664,73.38666666666667,5.699999999999999
2020-10-11 00:27:00,70.00000000000024,40.25750000000001,64.7727222222222,8.198849583333608,22.581999999999997,32.51372222222008,8.623333333333333,0.28351216814,13580.818531110237,30.00000000000263,22.052499999999995,9.178949428571032,9.138333333333334,65.45250000000001,55.885833333333345,13548.210787252538,69.999999999999,23.86833333333333,74.74499999999999,5.490000000000001
2020-10-11 00:28:00,70.00000000000024,38.275000000000006,64.7727222222222,8.198849583333608,22.581999999999997,32.51372222222008,8.440833333333334,0.28351216814,13664.356204677,30.00000000000263,21.914166666666663,9.178949428571032,9.531666666666666,67.5375,57.70083333333333,13548.210787252538,69.999999999999,23.79666666666667,72.13333333333334,4.895000000000001
2020-10-11 00:29:00,70.00000000000024,40.04333333333333,64.7727222222222,8.198849583333608,22.581999999999997,32.51372222222008,8.6275,0.28351216814,13585.212006045,30.00000000000263,22.197499999999994,9.178949428571032,9.474166666666665,67.72916666666667,58.49000000000001,13548.210787252538,69.999999999999,24.674999999999997,73.995,5.005000000000002
2020-10-11 00:30:00,70.00000000000024,38.97,64.7727222222222,8.198849583333608,22.581999999999997,32.51372222222008,8.527500000000002,0.28351216814,13611.924560528041,30.00000000000263,22.114166666666666,9.178949428571032,9.584166666666667,68.44916666666667,58.846666666666664,13548.210787252538,69.999999999999,24.968333333333334,72.6925,4.812499999999999
2020-10-11 00:31:00,69.99999999998984,39.655833333333334,65.85161111111108,8.255141316666144,23.145999999999997,33.592611111098655,8.585,0.28351216814,13708.159626447477,30.000000000017963,22.1575,9.061625599998518,9.5375,69.43,58.72083333333333,13725.414991729893,70.0000000000003,26.600000000000005,73.41083333333331,4.950000000000001
2020-10-11 00:32:00,69.99999999998984,39.11416666666666,65.85161111111108,8.255141316666144,23.145999999999997,33.592611111098655,8.524166666666668,0.28351216814,13913.7896331552,30.000000000017963,21.930000000000003,9.061625599998518,9.435,68.68916666666668,61.05750000000001,13725.414991729893,70.0000000000003,26.386666666666667,72.66333333333333,4.895000000000001
2020-10-11 00:33:00,69.99999999998984,39.643333333333324,65.85161111111108,8.255141316666144,23.145999999999997,33.592611111098655,8.555833333333332,0.28351216814,13670.06001041796,30.000000000017963,21.915000000000003,9.061625599998518,9.3575,68.75583333333333,60.231666666666676,13725.414991729893,70.0000000000003,27.17916666666667,73.25416666666666,5.060000000000001
2020-10-11 00:34:00,69.99999999998984,40.120000000000005,65.85161111111108,8.255141316666144,23.145999999999997,33.592611111098655,8.629166666666668,0.28351216814,13888.518737055481,30.000000000017963,22.300833333333333,9.061625599998518,9.399166666666666,69.38250000000001,60.26500000000001,13725.414991729893,70.0000000000003,27.354166666666668,74.39083333333335,5.130000000000001
2020-10-11 00:35:00,69.99999999998984,39.1,65.85161111111108,8.255141316666144,23.145999999999997,33.592611111098655,8.5,0.28351216814,13802.573929195201,30.000000000017963,22.038333333333338,9.061625599998518,9.419166666666666,68.735,58.340833333333336,13725.414991729893,70.0000000000003,26.27416666666667,72.8575,5.087500000000001
2020-10-11 00:36:00,69.99999999999554,40.06583333333334,68.91733333333335,7.928748428571261,23.118,36.627999999993946,8.596666666666668,0.28351216814,13822.56181320624,30.000000000010353,22.299999999999997,9.011275199999307,9.417499999999999,69.5175,61.531666666666666,13824.287957462388,70.00000000000111,27.171666666666663,74.22,5.2250000000000005
2020-10-11 00:37:00,69.99999999999554,40.663333333333334,68.91733333333335,7.928748428571261,23.118,36.627999999993946,8.575,0.28351216814,14112.005259598924,30.000000000010353,22.274166666666662,9.011275199999307,9.3475,69.59750000000001,63.22083333333335,13824.287957462388,70.00000000000111,28.117499999999996,74.16666666666667,5.060000000000001
2020-10-11 00:38:00,69.99999999999554,41.04833333333334,68.91733333333335,7.928748428571261,23.118,36.627999999993946,8.571666666666667,0.28351216814,13863.6132457872,30.000000000010353,21.774999999999995,9.011275199999307,9.168333333333331,69.08583333333334,64.66916666666667,13824.287957462388,70.00000000000111,28.885833333333338,74.57333333333334,5.1899999999999995
2020-10-11 00:39:00,69.99999999999554,41.74166666666667,68.91733333333335,7.928748428571261,23.118,36.627999999993946,8.666666666666666,0.28351216814,13929.81853584072,30.000000000010353,22.195833333333336,9.011275199999307,9.103333333333333,70.39333333333333,64.88416666666667,13824.287957462388,70.00000000000111,32.06916666666667,75.29750000000001,5.310000000000001
2020-10-11 00:40:00,69.9999999999841,39.98916666666666,72.32177777777775,7.59194726666362,23.028,39.95244444444582,8.409999999999998,0.28351216814,13867.2684720876,30.000000000002796,21.709166666666665,8.90179399999899,8.930833333333334,69.68083333333334,63.56833333333333,13925.298342355496,69.99999999999554,31.554166666666664,73.2075,5.2525
2020-10-11 00:41:00,69.9999999999841,39.295,72.32177777777775,7.59194726666362,23.028,39.95244444444582,8.38,0.28351216814,13370.42220566484,30.000000000002796,21.78333333333333,8.90179399999899,8.888333333333334,69.67833333333334,63.54999999999998,13925.298342355496,69.99999999999554,31.698333333333334,72.80083333333333,5.555
2020-10-11 00:42:00,69.9999999999841,39.745,72.32177777777775,7.59194726666362,23.028,39.95244444444582,7.995,0.28351216814,13908.073398207152,30.000000000002796,21.760000000000005,8.90179399999899,8.879999999999999,68.6725,62.316666666666684,13925.298342355496,69.99999999999554,30.168333333333333,71.31,5.819999999999999
