bturb_m1_base_k1,bturb_m1_base_R2
0.06809183716134747,0.7758675651965856
0.09184376759998092,0.9594117305338474
0.08747626697086197,0.9568852073546137
0.10398699257871308,0.854641068669871
0.0970676961119276,0.960566004805533
0.08124828659423892,0.9513927588568968
0.07976094106997382,0.9463373104131302
0.07861943077857317,0.938935629181087
0.07422669981870869,0.9340312973988298
0.078718886689555,0.7755332693890465
0.09065138115882342,0.9740531872585638
0.08876869800486945,0.9623242375033493
0.11916665810477402,0.9273731136188162
0.1094451364607993,0.959380645409785
0.08788129880712912,0.9699327268726294
0.07140256540157809,0.9227651918100467
0.06401447958260371,0.8490273919846374
0.09216206563775113,0.7436315299664006
0.06781657491033653,0.8566257740942257
0.09124231518991868,0.879119625435163
0.08242619602469548,0.9484603983771923
0.0771972512517033,0.9514793667723443
0.07514648475165482,0.9387737708001814
0.08165118243127474,0.9460634164488865
0.07158545184992099,0.9294607787058008
0.10207330720908404,0.5722204137758844
0.0728898908163475,0.9494660602727021
0.06353371810502739,0.9045769345244404
0.0708559073921371,0.9340159648972219
0.06656341180915679,0.9098423149478451
0.07652316598385403,0.9718932094707374
0.07609340970415863,0.8546033817477052
0.07920615942693807,0.9595705758069617
0.07873876952099161,0.9701764990891603
0.07028141781446645,0.9697454957290379
0.08386925659551943,0.7508727611332481
0.0721211640649783,0.9058820556079532
0.08172510406261155,0.8901022303423717
0.09885144951328963,0.868126662461669
0.12254980354551684,0.6615790818624616
0.1384670034432899,0.7103057431292805
0.10142051064525544,0.9385197702931427
0.08961479000569819,0.9418450013307653
0.10110023568271541,0.9376741373542391
0.10435241009147259,0.9133369763541604
0.09268919250401605,0.9409784304578618
0.11650918963944368,0.7240533870881255
0.08136040893324868,0.9185969372965881
0.06766819721327036,0.8548952491746233
0.08942518772860511,0.9315565498491617
0.0992561518645445,0.7567692144399952
0.09092007423489665,0.5606607862298922
0.07127062678779954,0.8703196865746754
0.07767802511029151,0.9105930761574988
0.08850765310444914,0.8120073288461461
0.0728002978675928,0.8530857483897194
0.06816041739197126,0.9434687778515667
0.08267426270398846,0.9547855388162554
0.07499460964129541,0.9522773947832874
0.07796839237925185,0.9673443535021703
0.07853789019175474,0.900698237368119
0.08491947705247736,0.9699119626162301
0.08059017161957743,0.9216979978687441
0.07904004989003073,0.3760508091548631
0.03580464260450126,0.3704022224454294
0.09646105072613136,-1.9483056139808292
0.0069748985665545795,0.08340194616679952
0.011768510472724914,0.17861493303612608
0.05341886128241108,0.30616297571816464
0.06837991641231125,0.8266014951395082
0.07244410024140664,0.8138977895045082
0.04803084254948455,0.5881198863956523
0.06605904860481944,0.5079462840054076
0.04247799211612314,0.2064168055731317
0.027618201312291032,-0.4833084007786894
0.031179425371328118,-0.6958538664935439
0.016651231453505208,0.23197602264987915
0.0470661434313376,-0.7909177889502645
0.0032954370793638246,0.015990890904081123
-0.0012551230123227814,-0.04401725919981336
-0.0025873400598796204,-0.5113024348207378
0.0012563884993413634,-0.3788982867640305
0.067767896703683,0.4045841621735601
0.04949584690637633,0.5987827852126089
0.018586655232139496,0.0591663728634052
0.005290727699745926,-0.7600843001119917
0.06638499178175732,0.9557232886734315
0.07322333260229842,0.9345181871986487
0.059475794101356526,0.7897963846885868
0.0863856838433813,0.6190544331198797
0.06569198219879081,0.8668156127888134
0.07057042151484735,0.9363901914610894
0.06385437428342837,0.9149173898976105
0.05047208120094131,0.8885048515776703
0.042313500465968545,0.8238222146190534
0.04713641297116706,0.8177133839439702
0.08802386219785056,0.5919617459440072
0.06241380072400777,0.5461865933172111
0.0809562172963631,0.9412132606842922
0.07367399154164384,0.9890173683953531
0.07039357682005558,0.982501817284615
0.06584817327407991,0.9468559614305718
0.09396132683096148,0.8879436815679207
0.07616490656673414,0.8294882958148989
0.07817118260389867,0.90738739927357
0.10653018579374074,0.6338192291901759
0.10036340161194839,0.9697840893270707
0.09054396316230431,0.970554002941656
0.1040644728433211,0.8791500740268657
0.07977156910357402,0.9722503242254402
0.0810206153816228,0.9822115514466987
0.08557274951631473,0.9684665194509282
0.09024345876095528,0.9590205699140265
0.08811848264742579,0.9699648706839665
0.08044386630077419,0.9738002967538135
0.07429082393245466,0.960450823252729
0.08103953788553074,0.95178989138366
0.07426265135228988,0.9096698357105576
0.1002580701599485,0.9005823217594608
0.10584958460439399,0.8971312153684153
0.07423638496291854,0.9142499395366054
0.09125491842583786,0.9916193071623168
0.09273933580512192,0.9805479561910411
0.08890893535733997,0.9785369979768972
0.07357872950576287,0.9731653571263008
0.07782283838501165,0.9463593583974891
0.057710004540409074,0.7695730753991252
0.057108917512669895,0.8849457246871025
0.04258417965256874,0.8000412036451383
0.05372009881396726,0.8999263601498264
0.04372611015329085,0.8828486700796238
0.04068898275601027,0.4951200720847986
0.03284916025475576,0.7017012157582875
0.04916814644258317,0.7537111431006482
0.07010051922167103,0.901162081586297
0.06387843633619492,0.9256884848058466
0.05512787652996162,0.8239775732857575
0.0551035008269566,0.8420799933876189
0.06276581864031028,0.9372841498769973
