eturb_m2_delta_k1,eturb_m2_delta_R2
0.1733914062919147,0.9695851691194802
0.17213982602428332,0.9681586999867006
0.173603933965279,0.968521134119169
0.17901293199932272,0.9764988890748401
0.1791412250187657,0.9803909825818978
0.17513631635438548,0.9857935258518523
0.18098494096094944,0.9901581593483421
0.18206807742980546,0.9924032378479961
0.18123228328048874,0.9934241628270833
0.18275998581742356,0.9933990640745226
0.17948358221686053,0.9931671318123201
0.1713670449020689,0.9925576992524965
0.1703009007966865,0.9934302367774577
0.16820168804372623,0.9953641041743285
0.16527715185399508,0.993247295815197
0.16525537360445425,0.9943063112492915
0.16544641301194216,0.9948402206656655
0.1653769750057596,0.9947318128440942
0.16420256842250663,0.9934662926521036
0.16316768473328042,0.9935166650777696
0.1609782346448515,0.994441857735966
0.15949322058609508,0.9944182538725315
0.1593314379724417,0.9941121978782745
0.1664393586868776,0.9905840804381855
0.16793060676551003,0.991348217353413
0.16808897946321796,0.9927784003359167
0.17269305780703106,0.9904118334895277
0.17487611468389727,0.991605428315974
0.1789203217632882,0.9901978021913771
0.17559456212835547,0.9880468515339239
0.1763260766514599,0.9857037539936776
0.1801169947509632,0.983399131762233
0.17626187670390894,0.9870838507206328
0.17628151790481172,0.9859731248749752
0.17491614396014912,0.9871994139449637
0.17706891744044728,0.9858487548346756
0.18134994660875692,0.9883697917113515
0.18455177770938533,0.9875033458015321
0.18869704658279804,0.9876776363075064
0.1868402245383885,0.986490148821948
0.18308347675349476,0.9853802896315403
0.17823569780924187,0.9817925240193984
0.17407017941091632,0.9800814071478333
0.17055697496266795,0.9819177151161707
0.17137944615359152,0.9810275954652462
0.16556484895320925,0.9744310186649857
0.16559299878676528,0.9723692707954485
0.16844361843547412,0.9705654009987339
0.16095857660646784,0.9697915922793984
0.1667712797474291,0.9789179220065805
0.16340724275800236,0.979544976272666
0.1658770519308496,0.9820833123029495
0.16450696066038992,0.9808658838951475
0.16316235980336707,0.9779348806363795
0.16516249553518256,0.9803635767045603
0.15083265002429957,0.9807359043888394
0.15881440563618887,0.9650204046868764
0.15883202994598278,0.9620417755891054
0.1614592050685964,0.9665464386928495
0.16427900291420816,0.973644442115051
0.1636041730599019,0.9722605091914643
0.16375981486000182,0.9776603678347756
0.15884513126992106,0.9925276648364266
0.1594644787396026,0.9920985920325918
0.15953947807948507,0.9924152567042884
0.16254169150854664,0.9865584667128849
0.16329763424959592,0.9865505468954255
0.16385516342302783,0.9824497906341226
0.16369524080703432,0.9847630054717272
0.16073148512231963,0.9838003023341593
0.1603981098970056,0.9838065746755461
0.15929091692880068,0.9907480770526367
0.16050282748536276,0.9878956523289102
0.16051359838283896,0.9891870984375345
0.15902906944337783,0.9856643714312097
0.16211077184746175,0.9795616745226167
0.16286304013404856,0.983511269039046
0.16140517773118537,0.9819560446867173
0.16014542761007414,0.9859076902018721
0.1633436130201576,0.9875714830437098
0.1647825774836919,0.9879935101502366
0.16605472224787707,0.9925902778237471
0.16764676450828064,0.9918959511248759
0.16923319672948406,0.9914211355123321
0.17016283650307526,0.9918771714693194
0.17019186563134955,0.9896706616036699
0.1696364522882812,0.9914774519639175
0.16738091104575106,0.988202110053985
0.16909242310591607,0.9909139836423719
0.16782078833590824,0.991020518441385
0.1673862231828948,0.9909969142659445
0.1685463388148615,0.9907514914092505
0.16823942579733014,0.9908726314509069
0.16938382122890772,0.993058629903659
0.16813181220064152,0.9905247607827734
0.16930147965051814,0.9902627678426302
0.17137963153208263,0.9873447756392816
0.16975197357214228,0.9902350659100481
0.17012393607002108,0.9907926596871556
0.17169850323050825,0.9902581490531214
0.17118037888636425,0.9915245300811132
0.17128757365326253,0.9919842473163383
0.16813100958030372,0.9922822926256056
0.16176061194409214,0.9888379485386222
0.16139658794753237,0.9892072370310248
0.15883647238165688,0.9906901361658971
0.15735871503692275,0.9887156656900659
0.15597296021795826,0.9892566343003515
0.15813964300555566,0.9877768377200395
0.15762801880065982,0.9866395539659073
0.1544585549502857,0.9840754426418297
0.15379689555284679,0.9841176932402991
0.15023688171777244,0.9842990538849725
0.14480634272481518,0.9851101871009004
0.14918452407798186,0.9845616064079862
0.15030865802459803,0.9837075111455374
0.1518631653359843,0.9827208388410792
0.15191088150452764,0.9821941451738907
0.15481411254818767,0.9830254327938005
0.16009089613088318,0.9866592188993336
0.15942670431671163,0.9886545814151758
0.16025988968016114,0.9857911826279628
0.1600359566037522,0.985579126285407
0.16354490413632017,0.9872319024084689
0.1640719763123695,0.9875840510455176
0.1650405911337865,0.9885821078134664
0.16594097374270708,0.9864751797256154
0.1648651533821794,0.9887311128845366
0.16267374691861033,0.9889030576437744
0.1594428703538161,0.9884476900983008
0.15888359964612553,0.989265869526167
0.15596632723670428,0.9873722979008182
0.15634488319646947,0.9847979748699015
0.181835317070111,0.9762956710307638
0.18175838346744763,0.9795549503198805
0.18311508506312987,0.9798723360541397
0.18623944973366058,0.9791236228166276
0.1849097897224798,0.973969189573459
0.177541325270103,0.9730131769848437
