bturb_m1_delta_k1,bturb_m1_delta_R2
0.0817872886782129,0.9370787336731359
0.0823283612455043,0.9421935045432488
0.08100596967108366,0.9439671104391656
0.08057908320771644,0.9490636569335144
0.07623242219726015,0.9547880438983078
0.0696739534385066,0.956237009636753
0.06810435043097156,0.9617378458182727
0.06805155385685176,0.9616938692303443
0.06872402064741401,0.9567879499488255
0.06993400271974189,0.9515405422624896
0.06993192913935542,0.9382674423123507
0.07824321335536483,0.9285774407630825
0.08385342359995217,0.9522485445190553
0.08416413521591647,0.9492267166547043
0.08625563884605082,0.9495436862107723
0.07554622275305004,0.9256423745479123
0.07216153440131955,0.9207533561844387
0.07124340716801783,0.9460921611644809
0.06726918922248053,0.9466942632547304
0.07048073799519185,0.9572020861921674
0.07066637462434135,0.9572792144524856
0.0725858860611621,0.9585332030019978
0.07269655968467478,0.9634816003328565
0.06960026826955659,0.9506731092012873
0.06924616468653441,0.9490328803426474
0.06570146776490905,0.9474742953623378
0.06628946715203003,0.9603972292486588
0.06513149593427366,0.9619772241054291
0.06536705441164802,0.9493367282889164
0.06861895322116578,0.9628978182940144
0.06904558264555163,0.9622253241236698
0.06998349245170504,0.961232176360634
0.06792990423515387,0.9544336648182126
0.0699926493464774,0.9493815871901901
0.06974674867681122,0.9633951558119644
0.06687595420692485,0.9201127978551266
0.06685784632559785,0.9280371154866406
0.0699228349994959,0.9302426682953413
0.08221578735408072,0.9464665607645479
0.08239719752129164,0.9511065485035777
0.08646907966807284,0.940501614597084
0.07461050883391668,0.9588184747817418
0.07477656255617966,0.9572029210664079
0.07346269445041868,0.956321189586407
0.07314608513836933,0.9555667391431316
0.07271125087398846,0.9548538726812589
0.07116014635704564,0.9630009906644867
0.0730563276687036,0.9364254462492039
0.07012835157874067,0.9491298651664359
0.06983124746958659,0.9481442216544367
0.06716333119695718,0.9451558755763634
0.06591365534721874,0.9420220927939117
0.06614672879390707,0.9417124295795262
0.06579685186090765,0.9300857242196527
0.06564089747878772,0.9312310825180109
0.07079207071644396,0.9180391666639037
0.06927673396545687,0.9400096262833643
0.0702873602695221,0.9459686181418104
0.07017237794226942,0.9464091595731172
0.07050751513713642,0.9497801917250102
0.07104515882913144,0.9521968223036261
0.07015460856239258,0.956119639367234
0.07487975067869938,0.9686929774771987
0.07317002818646823,0.9636283820626966
0.07322683048150187,0.9642075140517526
0.0719711865908384,0.9226838037458527
0.06828592401814265,0.8993713187095705
0.06628468572677536,0.8993432936819123
0.06588776553097006,0.9019362544527845
0.06589744251015855,0.8991543058618394
0.06483226170990171,0.8897525529200763
0.06488103239719904,0.9185343094342553
0.06291879793264286,0.854263256048008
0.06498441018140805,0.8497001441487265
0.06315309567677121,0.8105383634071516
0.06390640228241334,0.8278426021003329
0.06454279853864252,0.8327027519685726
0.06230377426136543,0.8277502349259686
0.06970667980129888,0.8880693329279631
0.0694804388544597,0.9122173485926834
0.06927067384979498,0.9369123149441595
0.06982201745548844,0.9379525327081528
0.0701259771783858,0.9478450201624743
0.0708965300447484,0.9463235311774619
0.06963500986800954,0.9572991163198642
0.06988866351767879,0.9455970404831641
0.07386218904330655,0.9503857623757427
0.06962248910888094,0.9336241526110824
0.06958707453658021,0.922765124183131
0.06689255519564011,0.9235292829601434
0.06618478012034608,0.9510409125053526
0.07039678470438003,0.9772733436154539
0.06939870655029753,0.976019443344196
0.06887096418182316,0.9748753613347699
0.06801480864159107,0.9759503465702518
0.06829484444221257,0.9774239846170567
0.06837200306886602,0.9705279178348658
0.06534249882827577,0.9429368394806386
0.06621329769126649,0.9371502668410576
0.06676139871310774,0.9412822763134608
0.0683697155529834,0.9265294897835435
0.06835479421007139,0.8728114934853501
0.0701053356638893,0.8770211279037201
0.06943998241229155,0.8641858017590134
0.06967762459885887,0.8725409124343817
0.08466430608319726,0.8670549147755575
0.08215305941422985,0.8934837838351796
0.07901420047415754,0.9172837624539463
0.07624938272973455,0.9306749894372026
0.07467503342587578,0.9751339044635894
0.07248374815344516,0.9789111798344399
0.07221610308544428,0.9752720645297079
0.07213347771952634,0.97597096091902
0.07226427906435437,0.9768997190146442
0.07312535055513875,0.9750040985976207
0.07259181557508668,0.9729728513043054
0.07258893217471102,0.9681738277033716
0.07284517373802506,0.9663728799136087
0.07402410582197509,0.9585726246326993
0.0741875060985788,0.9577203356842512
0.07370472363584543,0.9594442380421067
0.06918177872487777,0.9234556247906619
0.0683634725588312,0.8802022400334568
0.0669206667181036,0.9260619034274507
0.06376542242841163,0.9358765639421729
0.06195336113611513,0.9362445544374286
0.05790726265539837,0.9360915460417525
0.05830080188355674,0.9482464717093296
0.05808350798079533,0.9443027358068778
0.05519273344512524,0.9413471719068657
0.05288332666592804,0.9652121712694984
0.05371110296732764,0.9682020471483896
0.053440703758483525,0.9596694749808421
0.05042556238992132,0.928047081457682
0.06073805448713078,0.9096022136363006
0.06556460563721027,0.9285596603803369
0.06620851967044024,0.9229133566066867
0.06686959165930159,0.9174629476005701
0.06705248405157123,0.9215351052352718
