eturb_m2_base_k1,eturb_m2_base_R2
0.17291669332206466,0.9854973512428726
0.17503981776592586,0.9824025162902335
0.1582457689757982,0.9554628634703045
0.1659149173876295,0.9811089586812094
0.1776669057017544,0.9896949441148373
0.1819730479620756,0.9858399851572625
0.18449749307058705,0.9892119651130651
0.20571452238337817,0.9889905584012919
0.20029201059206678,0.989951782781299
0.18000996311811882,0.9605355397180128
0.19061707016140447,0.9927331645835007
0.19354939597412382,0.9606701750615371
0.17271332760390154,0.9923313113103949
0.18227776729870576,0.991588132982831
0.15611603774393917,0.8999488687354561
0.1853184806979691,0.9644875846411175
0.17207809324040574,0.967474322453864
0.153159724936862,0.968420866480538
0.17747415829772414,0.9949473837339019
0.17866894595877045,0.9920079029176351
0.17133022191459385,0.991745323750433
0.16821498411051702,0.9753881725008419
0.175586513199955,0.9538127517415528
0.1633561072298664,0.9696382425553619
0.156886599126569,0.9364924070976985
0.1981325718532932,0.9274907260420162
0.15342498310525712,0.9116396113768912
0.2086893647750575,0.8972180057842777
0.1953802588867349,0.9508013321163508
0.19050557480695957,0.987205234967155
0.1696312578628344,0.9785653286587918
0.18751874146308936,0.9846479602663329
0.19039160253270573,0.9820869844512312
0.17867015368353079,0.9703557210408797
0.17712600189684688,0.9908212971862962
0.1650473705940505,0.9598106842086113
0.18695209908400082,0.9680906142870481
0.22035170607317411,0.9678348000013767
0.20930550713347093,0.9784707334109809
0.2115015521423465,0.9783657513319792
0.2020978025787703,0.9800490549647032
0.1940251910089749,0.9876950898136019
0.19179937048832807,0.9845764886954002
0.21203223887426165,0.9574840424087674
0.1760766347665001,0.9853632797794962
0.1570951305985219,0.9639465956617024
0.18646334580078594,0.9670767688254595
0.19286410662258238,0.9630367462003789
0.17838174925707306,0.9616333887814185
0.20145045760519378,0.9599401920739823
0.20238923248877902,0.9209106851858516
0.17187446605076304,0.9682117226069927
0.19341238218044363,0.9628413929968511
0.18629475127701425,0.9736422361499921
0.19476358517085826,0.8862793136750975
0.13167123359162183,0.7211365277377326
0.1873418227750198,0.9680026840693539
0.16293122866936788,0.9740612094467246
0.16583598762719634,0.9840730383443996
0.16433304754626873,0.9886376386781383
0.1590585634161121,0.9844993132364342
0.1710194412718605,0.9910946501568538
0.16794685469917575,0.9888115558411382
0.17044079652712027,0.9855057289090504
0.17422901129489554,0.977572600469379
0.19075128432221106,0.9784167351919891
0.16996308608283114,0.9431741160391336
0.18062318438382938,0.971449033254353
0.21163060173414236,0.9284911176381969
0.17350482834482336,0.9856980156058357
0.17458941467674358,0.986283953178289
0.17740477846327876,0.9714931978342684
0.1685862297958632,0.9672180928318793
0.17523820822099456,0.9626277023869811
0.1803328146960953,0.9760487310078073
0.1845714686346997,0.9620504356984253
0.16267801052475178,0.9703249689201991
0.1920317315393155,0.9487287895087716
0.176252805267478,0.9862480406390898
0.16882751800310306,0.9921747209172714
0.17096405692043046,0.9947139572141724
0.18384977603653233,0.9883171467084566
0.174425717814986,0.991976384447485
0.17416427400769355,0.9929043442482689
0.16459373164721064,0.975045909964554
0.19150262830750214,0.9623758052164603
0.18880359344302486,0.9575056320128734
0.1679421438071125,0.9867602146639725
0.16627842286184727,0.9615883871283615
0.17651471762844903,0.9929370501256708
0.17565017826530227,0.9875032626185272
0.17366512995691885,0.990802663387936
0.17582702156792848,0.9823400598873674
0.17123008076525398,0.9904402434956675
0.1741314995861494,0.9739392447846222
0.15624535438619344,0.8467271284172287
0.17152166460507462,0.9370810147885612
0.16399182043633667,0.9322125402096424
0.21781392040644393,0.823935319222571
0.2012576006808206,0.936891635501314
0.19298528047320337,0.9610417450685607
0.149973495364556,0.8655070404577547
0.19843174113128068,0.9405165022492449
0.15365107578267634,0.8961134025696045
0.17838782223787744,0.905453465627749
0.16587882613646612,0.9626345184229065
0.16763829933972854,0.9580953081373145
0.15492446103080237,0.9342610270616505
0.14696405644155816,0.9261042628618881
0.16386552855993647,0.8906647831212492
0.19440616257767285,0.9686207564187483
0.20368581933009533,0.9405913725839424
0.18293257317815254,0.9466198896438435
0.1606973440463415,0.9445429031049546
0.16149709938730056,0.9737363819916239
0.16357365146841543,0.970792584578132
0.15121254127154063,0.944860528720911
0.18214972888052985,0.8907371572469347
0.14359534365348417,0.9046278584209991
0.14799138646012278,0.757383479481376
0.1613372744737286,0.8229737754336235
0.20503384107682812,0.9639390233820799
0.226736242411536,0.9561011774043425
0.19064069670877293,0.8027353376990864
0.20427032478599474,0.9560413131022125
0.19003091170620112,0.9804188789408977
0.18325462544474203,0.9610057271526135
0.19462769926424248,0.9737558505931483
0.17950780866679508,0.9593295102157002
0.17617672510017235,0.9721552285976587
0.14560954195186881,0.8834397441888759
0.16863197036441524,0.8502603802786635
0.16760147187603647,0.9795697659629473
0.16714070944127538,0.9783916629741342
0.16299560741190494,0.9750430033861118
0.1753373862602842,0.9856759623427476
0.18149240532028726,0.9723166401710905
0.17557624090681123,0.9461336492458152
0.168804675295571,0.9181656750632178
