bturb_m1_origin_k1,bturb_m1_origin_b,bturb_m1_origin_R2
0.08537625150734166,-1.3450248747466331,0.922849361430516
0.08972561474021436,-1.468944283993183,0.9620660575666764
0.09261781232161777,-1.5544429193030918,0.9629771578168085
0.09222729916469073,-1.5501155927330568,0.913882762231712
0.089031197901561,-1.46727636678638,0.9732887076744314
0.07667372571069525,-1.125287423287823,0.9624245759202162
0.07462835730492039,-1.0706391945879719,0.957739553973171
0.0735366390304744,-1.041699919939861,0.955217174637544
0.07400691334887476,-1.0506295535897727,0.9340451956632436
0.09259381990311985,-1.532428043560984,0.9545194773745493
0.09501416508752666,-1.5872083798910241,0.9767225210741113
0.10226913437829495,-1.7957017552894046,0.9843918030829139
0.10195131802032494,-1.7820639173680057,0.9816126146967004
0.09849850352265731,-1.67233464971455,0.9749957361790828
0.08317485008008593,-1.2079332025318246,0.9732484157060706
0.07190597770684898,-0.8676289527097483,0.9324661283924678
0.06636586195674793,-0.7042296534022636,0.8910609146446384
0.08076009536999088,-1.1559979728562602,0.8868201436737846
0.08531825151764975,-1.3012093724262872,0.9333872844199587
0.08300480170695629,-1.2302860857635705,0.924173077072836
0.08088209364342172,-1.1713312984750972,0.959312448169642
0.0770706865358978,-1.0610289344627042,0.9638142678647579
0.07633708987828924,-1.042174560594485,0.9631071278801424
0.07323796750356328,-0.9404442703498985,0.9627105475119291
0.06642239624702982,-0.7209934750674047,0.9359770642234049
0.07509761356780914,-1.0071450175360284,0.9443358547232104
0.07190435512418729,-0.9045747236221087,0.9497444599795212
0.07224134601493261,-0.9148821104075184,0.9210958960266515
0.07406755357788518,-0.9715773898024533,0.9371097647030974
0.07467435287668997,-0.9889776625914493,0.9616212397713726
0.07777175083779647,-1.0879226639820927,0.972304252716629
0.07815388566020363,-1.0982737548108972,0.9716462362069447
0.07653868315542778,-1.0467647923158834,0.9652569977313082
0.07746693890944768,-1.0734509940355268,0.9722524581744
0.0726048341967509,-0.9154862259153007,0.9756090746428747
0.07393238129982088,-0.9568260869353131,0.955945821608729
0.07416432702921948,-0.9668487828993515,0.9305054584456719
0.08866252355605572,-1.420509804815576,0.8966176278986216
0.10296879923772247,-1.8571196002218098,0.8700221293680792
0.10785872389584851,-2.0064558156598737,0.8515051958466889
0.10821270064945317,-2.0223564838534727,0.9104325182804927
0.09566196303013745,-1.6644133142173076,0.9507468890397048
0.09562927132087932,-1.664497980012495,0.9501458522688666
0.0958570072595413,-1.6713746323629033,0.9463448894391796
0.09295586690061401,-1.5788716418156439,0.9458965106746314
0.08823487233520867,-1.4294462931930265,0.9465006534110844
0.08943284862224,-1.4742840976757798,0.9661215099492177
0.08006845198288857,-1.2096869149880638,0.9188713825259184
0.08445932555967138,-1.3354345658010405,0.9202328464135519
0.09261190185596266,-1.5614128784195034,0.9339822027996585
0.07962031210747951,-1.1987728390966679,0.8614865028665778
0.06247785026882113,-0.7372489211554961,0.8544874860137426
0.06992647591364888,-0.9366865737808606,0.874931084448735
0.07596541435196472,-1.0983041192727603,0.9119769968812883
0.07253615328485576,-1.0007687757360395,0.9286939021093387
0.06555076811351707,-0.8044347762556074,0.9225301826570138
0.07799550446832447,-1.1537821413599267,0.9651765107404363
0.07908915264375421,-1.1862386916656842,0.9594932948640997
0.07915536746474001,-1.1889911730536655,0.9687476742629815
0.07832874057129124,-1.1648619081157874,0.9714282760550078
0.07781104184110257,-1.1469889257737618,0.9771264500085326
0.07858448741221609,-1.163760082838545,0.9902726952394652
0.07633687662518114,-1.1095614954344968,0.9250267063758805
0.06366652072813646,-0.7719351811941758,0.5946570704203001
0.04699840211393585,-0.3215229879038246,0.42170108366445325
0.029617010038451658,0.14847940734444054,0.28768372461864433
0.01374761662176458,0.5803897859049967,0.12541645906336463
0.04314864167483376,-0.26129789227886735,0.5537360534066842
0.05952029789704384,-0.7323342804126826,0.8756257408535437
0.0642995831849323,-0.867222960175727,0.8834402683199035
0.0629407855016789,-0.8270980550807707,0.8413066073945148
