eturb_m1_delta_k1,eturb_m1_delta_k2,eturb_m1_delta_R2
0.09610517784952552,-0.04962048172666151,0.8345774638817897
0.09203660564187624,-0.03880388538712324,0.8348345181940637
0.0860601909399301,-0.021893833356932037,0.8400151521925865
0.09503341965614195,-0.010577629615840816,0.8897422595231792
0.08840184070650971,0.008559918884134526,0.9100225467239584
0.08108227175908468,0.019203677918297347,0.9020329953153625
0.09527222825872932,0.0027544229667628766,0.920030647252456
0.11036818314112162,-0.006626562572949823,0.9561309566217457
0.11891418174093774,-0.013969504949988049,0.9652177004615754
0.13380730173826724,-0.025774898367183992,0.9775732646952412
0.13574660429902002,-0.027868016850689615,0.9767297296662455
0.12767400809836094,-0.011441376476239953,0.9790782666474702
0.12629346103338077,-0.00754962629422555,0.9840716129205379
0.1279952763050083,-0.005915451117963207,0.979233395283676
0.11936613734769297,0.009165337756035086,0.9810316769370784
0.11326282064797559,0.018272388414830736,0.9852776241831919
0.1190279789563665,0.004906243255798361,0.9840317937226093
0.1336808075078906,-0.022101354756343495,0.9880995353236087
0.13555816363475692,-0.02751990199476555,0.9854061863249507
0.2041525397884508,-0.13858130443164723,0.9698229014751314
0.19570522525799214,-0.12311926314442029,0.9812443909366858
0.18983799719418748,-0.11501532147791044,0.9783021846117801
0.18944393562219494,-0.1053202614672271,0.9784565380024072
0.19135818333606858,-0.09676896000764464,0.9763675509774143
0.1925698737374175,-0.09337768558600543,0.9760257588895423
0.19387662539863873,-0.07820549593592831,0.9824619316667764
0.18506403197880686,-0.0848224054770931,0.9826251923716047
0.18866946399203482,-0.08993996262985622,0.9875371048910531
0.19229510188756715,-0.12098066659613693,0.9862842020067494
0.19238525800103853,-0.12232194957089523,0.987922450552056
0.19143417622486428,-0.12504307735547873,0.9875491226452745
0.1891900841496823,-0.11937029533801265,0.9864370064251239
0.19614215918734543,-0.13171349915746608,0.981534079964552
0.19492870828658052,-0.1293282765948362,0.9704019544755856
0.13402973784098812,-0.030365685374061646,0.9711210030404174
0.13978107666248651,-0.04795158188384374,0.9658194582065827
0.13993025524805083,-0.05154259674969869,0.9548865453640967
0.13325895228472856,-0.04107812441608122,0.9659947605733247
0.13200123540069159,-0.036767187930980195,0.9595279542761112
0.1279437156423452,-0.034830551394179975,0.9575096925339704
0.11412329340818765,-0.022564321591011485,0.9579170641788517
0.1192547699027477,-0.02362183082754918,0.955882031521007
0.12169502836921582,-0.02521735359238044,0.9653149759876776
0.12374151398864972,-0.028475381707806394,0.9443130402132802
0.11629550594140346,-0.026986947884648727,0.9295300971258146
0.10609171547810121,-0.02102997723276881,0.8846014506285657
0.10133413165264135,-0.02139749193967749,0.8594963442498527
0.07751181728142933,-0.001365648623787622,0.8553667266208069
0.09525446793816048,-0.03704021633227019,0.8268629738878646
0.0918099875528235,-0.021324863322537687,0.8716733638153852
0.09585591944287628,-0.022877307818148233,0.8696512990817097
0.10664925887140131,-0.027733131583439482,0.90584783585548
0.12898024464385666,-0.036300041518149105,0.9315183320424397
0.14657285755513583,-0.05285545072642039,0.9556453885553848
0.1422964220384383,-0.04591638745296241,0.9595750470407879
0.15245319077479055,-0.052199655097582204,0.9379488959097613
0.15068190757496994,-0.10680272727132475,0.9399526821047602
0.15153959606084758,-0.11182912911315644,0.9443350404386193
0.1525689036798924,-0.11727995686651362,0.9623139553522191
0.15195326136740206,-0.12051697825976068,0.9656567772240515
0.15429902453153385,-0.12607317125830425,0.9655652684909563
0.15820096652768265,-0.13732553795998406,0.975880109186073
0.1582878044273018,-0.13482272213430355,0.9570898370592003
0.1631744797410166,-0.12023288636293576,0.9468913496111103
0.16965501265027952,-0.07692780159840319,0.9110115793299393
0.1736110440123252,-0.07005670601890218,0.933706776249235
0.156720652254119,-0.05812094079511274,0.9394055160182979
0.13670572462281955,-0.04349556726736931,0.9490244111278341
0.11965647873180696,-0.03069895086781542,0.9585583544639573
0.10719903056123714,-0.021263687472984984,0.9701469119207056
0.10013246413534044,-0.012800035314706753,0.9767851723105055
0.13440974041180728,-0.04436430084543229,0.9870419789059741
0.1258836789965358,-0.040501398617400715,0.9631785953933966
0.11169118358080775,-0.02319006897298015,0.9627536564666584
0.11499169089309688,-0.025912686710222173,0.9650830288951604
0.11336073416425317,-0.024646545248753822,0.9623768309934766
0.11265076951350181,-0.02701756178352245,0.9434399189102223
0.09275115751990741,-0.01484799315107526,0.8867110540890764
0.07935481889222236,-0.006631498580062883,0.9118979072423038
0.13040203291738436,-0.0745241837339548,0.8864703617429562
0.1391408009146885,-0.09018177234844726,0.8946534455014877
0.13487901613437756,-0.08580765310592232,0.8923233023538033
0.13257838129391405,-0.08314182636999369,0.8913175429537946
0.13258008386546563,-0.0823010061295581,0.895400157610386
0.1311944588236404,-0.08291717851985703,0.8482664645689619
0.12841715732254672,-0.0731491012258757,0.8590088558081175
0.1333492344721833,-0.06603791657484082,0.8398983571743379
0.14618522990010113,-0.07116310707312669,0.8558904120244102
0.1546622588506216,-0.0717552402554318,0.8791195085813015
0.15399460222246997,-0.07035726630303236,0.8923051975101827
0.18293808630480407,-0.10055989398583509,0.9110195988935248
0.18984887243636556,-0.10021635028576219,0.9155275702619448
0.1774431558430199,-0.1011181751399521,0.8820186914131639
0.1677859445046981,-0.09968427882556477,0.887071885591758
0.164548960845939,-0.10040885487849031,0.8773607374738733
0.1681795268897614,-0.1054859218674939,0.875079590751218
0.13441921700586476,-0.06998183979845733,0.8638765212327792
0.13658846005798453,-0.08329016337360658,0.907239096594729
0.1415683783079067,-0.08671376200048928,0.9094977570704691
0.113951546945302,-0.044836253707102314,0.9065142416501664
0.12148569930399088,-0.05349831844061696,0.9051381398627065
0.12439379850849536,-0.05565512284889713,0.9079829689886056
0.13784844976624408,-0.07093912793129221,0.9091826571520562
0.18056503690254172,-0.08208168920451987,0.9642400321283758
0.18102225699062996,-0.08207667804219193,0.9621215916844656
0.17160677893159412,-0.07356937232956451,0.9499653392236509
0.13425855198538492,-0.05218962814541644,0.8753452258071045
0.12663708326025674,-0.053780180939191104,0.8583137808282267
0.10166431439575455,-0.03107768065224596,0.8229881466512203
0.0738583492546228,0.0012787963739221996,0.8395656379960663
0.07293765851838249,0.0009224470740911917,0.8377575649460484
0.08433041337145188,-0.015584197040691363,0.8118525479867539
0.10294730032237673,-0.025612715252612658,0.8088897752337426
0.1530679666807399,-0.07069026576044679,0.8567073165708193
0.16269469917105409,-0.08555590261581231,0.8914661066283831
0.18523443199501918,-0.12895260477733275,0.9192055140813101
0.18323022025667554,-0.13196361804020112,0.9070622193914659
0.1778676303393418,-0.1313017949227067,0.8897332475919366
0.1710376402732637,-0.12315222340626902,0.8903202477144393
0.13177755587406187,-0.08360250033700653,0.8529995562108607
0.06686099503702761,-0.015258406354012417,0.853655277108649
0.06985797266416127,-0.01574544519765409,0.88714502583995
0.06631107094735313,-0.011287209088752626,0.9008087499444369
0.061677630388446716,-0.004784050512388677,0.8951416854269933
0.08401021200948283,-0.020888739764410743,0.9303636676041102
0.08985765820715517,-0.026019826036699795,0.9332604240062938
0.09180164231754598,-0.027597699117800443,0.9452429252614388
0.09166060304231397,-0.027097283426432132,0.9404828716523559
0.08551838178879308,-0.019494720719368926,0.93858851995561
0.08804608667764126,-0.02257529390064711,0.9402483674748018
0.08883567623762227,-0.028941082798638718,0.9013676186165824
0.10098659120904217,-0.04072520797655896,0.9113010668956559
