eturb_m2_origin_k1,eturb_m2_origin_b,eturb_m2_origin_R2
0.17297766002694448,0.4002035929877934,0.9854976801572473
0.17079172457195524,0.5039393696481778,0.9840358239094399
0.1717290286239176,0.45500541240720693,0.9854802830596981
0.17522720434245392,0.27994200776805656,0.9894546452027823
0.18597740119270453,-0.26175373425324366,0.9930934822206341
0.19416061792671271,-0.6926733208075486,0.9919714664141466
0.19563751337096866,-0.7631507180125592,0.9938503264347802
0.19511038621871388,-0.7301349499543175,0.9945921227048998
0.19141202324071221,-0.5185801351116037,0.9935855116679451
0.18853284291165226,-0.34997394321818653,0.9925360706837113
0.18908760103007277,-0.3783358178636185,0.9928090522290907
0.17906236865296335,0.15785772457842562,0.991240529703683
0.17789569875325797,0.21776382298200758,0.9938305355879906
0.17592085292756007,0.3179972451594928,0.9933805910892021
0.16914652442619432,0.6735289175145951,0.9844779223520991
0.17036987949730076,0.603669238652234,0.9899751725527911
0.17081630279223886,0.5772692335248806,0.9913459930401856
0.17392210687981288,0.4113534004683874,0.9903843597096237
0.17854217576281914,0.1624613346741839,0.9952240041616549
0.17593255811120256,0.30701153107724544,0.993959150655887
0.17220463739617772,0.5103292119754208,0.9928111711433221
0.16258817053397254,1.0474026629537772,0.9886993539996152
0.16176817832651674,1.111129014171624,0.9852229525911305
0.16616221472733653,0.8982854208855517,0.9713054234256389
0.17418704670092527,0.49060489970282717,0.95993338125014
0.17483569270820826,0.48522038286029456,0.9631170859795548
0.17989761369126347,0.24414522169025155,0.9821679550459776
0.17820210237355116,0.3534830909262272,0.9816101520457394
0.18893424377525422,-0.2079125305253715,0.982819906481854
0.1876989442011307,-0.13204031261851057,0.9876811462959377
0.18343100106042026,0.09459217117843899,0.9852307774677592
0.18792064145585394,-0.16153449610284198,0.9846783839835386
0.18641481536873236,-0.08725478905381934,0.9833311404815622
0.18691635164457868,-0.11965219284914852,0.9825757030715626
0.17684896709444545,0.4214197731757068,0.9939547426016478
0.17889877455683417,0.3130583218376177,0.9790043493464622
0.19163742077649712,-0.38948066085712796,0.9836813774671421
0.20773239586277922,-1.2891554458069567,0.975699219859121
0.20947188584739912,-1.3769615818786498,0.9784716257454371
0.20756756556348896,-1.2683655088356183,0.980315745067368
0.1978653473463706,-0.7028408169099691,0.9855769333467064
0.19324079054863624,-0.43179275770756576,0.9878893172564039
0.19390297496616196,-0.47402792482787426,0.9852487506267038
0.18434995608609964,0.03474454374681457,0.9854806324551743
0.17767655697385093,0.3985614925933003,0.9854834864269308
0.17338063265107706,0.6453690380131789,0.9796498231967544
0.18323109894450554,0.09856799920393122,0.9699072333184139
0.18902160749241614,-0.2293863248545005,0.9674141279120079
0.18903932076398194,-0.23026438259182846,0.9654834963695091
0.18786857417121205,-0.1649999093086194,0.9701995203522831
0.17799998388310068,0.33510877008875184,0.9603114859168245
0.1854270725061304,-0.09465645134958045,0.9774149919693748
0.1869601440827931,-0.1824315400208718,0.973268843497417
0.18744558404118494,-0.21139624412951896,0.974170531238067
0.1868978299231569,-0.21119733580165523,0.9664623449729859
0.1654291913569389,0.9015702076153449,0.9574320839018324
0.16899273039317284,0.6996425446962622,0.98581258780017
0.16459410167002095,0.9275686698576937,0.9852652211776819
0.1648434401293167,0.9167850658401182,0.9860556666112311
0.16481752993921325,0.9113891729384243,0.9887136004907235
0.1677066556394951,0.7680256472113296,0.9911355181904878
0.17220487658773548,0.5451942592027432,0.9923409375937573
0.16885653130942896,0.7258296290230462,0.9888477895441238
0.17457398024239795,0.4165295585971265,0.9863084897147063
0.17823509696697265,0.2301897377967954,0.9785797521637599
0.18116136129880353,0.07441194546684216,0.9825150841698667
0.17995081154014303,0.15560460550925725,0.9806846232966516
0.1846918612398953,-0.10053430393023888,0.9726610544688309
0.1806686654143405,0.1297321831223499,0.9683863769823321
0.17617596221402992,0.39089134489168487,0.9879234858323218
0.1740362398871752,0.5172419108339472,0.986296652842925
0.17762261052190756,0.3409219938498804,0.9761982684871412
0.18065892724540208,0.18381746036487812,0.973552042526965
0.1817325941063362,0.125829734200666,0.9690434644030252
0.18701036587206957,-0.15433590341661585,0.9774467594561037
0.17711035085955593,0.39499248125150643,0.9642846165393963
0.17252975336429724,0.6517427921305039,0.9784649448473143
0.17342208263634498,0.5813540495917788,0.9885585669026088
0.1684317508049205,0.8445800327983068,0.9939388486980312
0.16897721407504865,0.8147598374666405,0.9944324158438362
0.1706340475217198,0.7323155389609273,0.9947302336574223
0.17173956126778248,0.6704697160263002,0.9946190097356438
0.17160352460135125,0.6681277401131744,0.9946252300784425
0.16973674040527106,0.7708392255045986,0.9941661713110356
0.17989415637339443,0.20302314783146969,0.9831577725382139
0.17469757682434683,0.4756346868095953,0.9754301059458061
0.1684784526437986,0.802548580299332,0.9861262011428873
0.1675240545648719,0.848108737549083,0.9867689467733717
0.17053866187974892,0.6787038857227792,0.9917318685551383
0.17268067863950598,0.551046578550066,0.9940526996404939
0.17590545020572762,0.36405700539982,0.9912691232231151
0.17618347684114805,0.35064457050251185,0.991058213328243
0.1770524694128999,0.3037468006887174,0.9885968401429542
0.180018269055865,0.1367923119117478,0.9934054449238877
0.175061356755566,0.425032475712781,0.9739708800309617
0.17601412234253966,0.40542131906973644,0.9290191014733876
0.17841143707868048,0.2942391213726161,0.9478727835521544
0.18508686190854723,-0.062391603014448904,0.9481229991976308
0.19248929984712423,-0.4454440131950701,0.9526965619004344
0.18645364737967823,-0.09929066409285703,0.9615076072909979
0.18615437788332187,-0.07758810019251072,0.9632292691481756
0.18435105248722178,0.00022306212168565764,0.9706426516676452
0.17285848871797108,0.6196521436987332,0.9639383810843425
0.16099791441076788,1.2740260246223567,0.9702763439633675
0.16047093999127804,1.308036460306683,0.9677931730431232
0.1597627801041898,1.3509141378668925,0.9647550917413117
0.1591627746205132,1.3763243109140273,0.9641095253135397
0.16504546453613897,1.0519082619366955,0.9582771991964528
0.17895697856517148,0.29411248291879666,0.9630039587942666
0.1901101746285371,-0.316202630031329,0.9740206339318139
0.1850948789631365,-0.07003499209791464,0.973150206793439
0.17596470656002877,0.39519545764154707,0.9811485489106991
0.16408192919477982,1.0155029313527635,0.971262228478224
0.1574280364614523,1.3611750639613476,0.9646224216529116
0.16270521079707298,1.0893103535188047,0.9740274744217903
0.15978581525997593,1.2406371731859327,0.971432814727699
0.1610491983896511,1.1666414403984948,0.9497362373300156
0.16156016461505465,1.128415397053999,0.9319706794451974
0.16418913196511814,0.9799702256013276,0.946475763237273
0.1720148933870729,0.5684207322097894,0.9577165945564771
0.1944213502393188,-0.6054157615044371,0.9332205389282825
0.20594098126447188,-1.2054017738620182,0.9639775569646074
0.20435113902214574,-1.1046173698694481,0.9726457920233875
0.19484660104889534,-0.5844477521421307,0.9743022662045622
0.1845563541374601,-0.01757996915394422,0.9759282390892473
0.1877582281515773,-0.19371836293106526,0.9824008530446171
0.1889550300722038,-0.26077594090882883,0.9846612092690668
0.18508467199288453,-0.05358605522643067,0.9829387606011099
0.17560909022350318,0.45142496316381475,0.9807654988152797
0.17390076756219844,0.5472818024314652,0.9744577733391472
0.17148997779354858,0.6788997919250104,0.961187482819333
0.1652549740648586,1.0178639292778158,0.9747545662950357
0.16621769464808173,0.9730537477582377,0.9796940757998335
0.17862544841406502,0.3184652877321703,0.9906388943878468
0.17734276370867502,0.3834739583794988,0.9935794652220988
0.17971898680720197,0.23876592346039516,0.9871566715423098
0.18819487992443656,-0.24391376609533744,0.9787229543666244
0.19478517177291854,-0.6220605441583995,0.9772357261603615
0.19282326101115183,-0.5367720646742953,0.9842657451303233
