ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.electricity_generation
76.64083333,32.0775,10.02
76.34833333,31.96583333,9.880833333
75.52416667,31.77,9.7525
75.68583333,30.00666667,9.760833333
76.20916667,30.30583333,9.769166667
74.94333333,31.1725,9.5075
74.2025,33.63416667,9.380833333
74.69833333,32.945,9.369166667
74.22666667,33.89,9.245
74.8375,34.10166667,9.269166667
73.70166667,34.495,9.099166667
72.35833333,35.1725,8.831666667
72.56333333,35.42666667,8.830833333
72.82,35.48,8.864166667
71.4725,37.01416667,8.7725
69.18333333,39.585,8.6725
66.6925,39.27583333,8.59
67.21583333,41.18666667,8.721666667
67.95333333,40.8425,9.098333333
66.945,39.6875,9.124166667
69.18666667,39.335,9.38
66.59583333,37.1625,9.445833333
65.81666667,35.18916667,9.295833333
65.98833333,33.89916667,9.195833333
65.92666667,34.09,9.11
65.86583333,34.8725,9.03
66.52916667,35.38916667,8.9625
66.975,35.045,8.945
65.585,34.60166667,8.84
67.31416667,34.5425,8.995
65.31083333,34.37666667,8.9
66.70583333,34.82666667,8.85
66.23583333,33.8575,8.795
65.61583333,36.08166667,8.7175
67.71333333,37.23416667,8.7125
63.0475,39.38666667,8.9
60.7675,42.57083333,8.7525
62.265,42.99666667,9.04
62.105,44.61416667,8.923333333
61.81,44.50416667,8.941666667
61.56333333,44.80833333,8.755833333
61.15916667,45.02083333,8.72
60.96583333,44.2875,8.6325
58.97833333,44.6,8.371666667
57.98916667,44.91666667,8.155
58.64166667,43.88,8.370833333
58.22166667,44.00916667,8.245
58.0425,43.74083333,8.265
57.87666667,44.06083333,8.278333333
59.905,43.33,8.675833333
58.275,42.625,8.425833333
59.41666667,42.91583333,8.515833333
59.86583333,40.46916667,8.585
60.6275,38.0325,8.694166667
60.7125,38.41166667,8.5375
60.68333333,38.335,8.474166667
60.89,38.5375,8.4525
60.97166667,39.18,8.430833333
60.9275,40.0525,8.386666667
60.93166667,40.47083333,8.344166667
60.70916667,40.72583333,8.295
62.59583333,40.77416667,8.296666667
61.40083333,39.5575,8.201666667
62.13166667,39.63,8.2025
60.98416667,39.05166667,8.153333333
61.06916667,38.865,8.194166667
61.69583333,38.47833333,8.359166667
60.695,38.15583333,8.285833333
61.7375,39.03833333,8.295833333
62.105,39.8625,8.301666667
60.8975,38.40416667,8.245833333
61.56166667,38.88,8.265833333
61.7475,39.42083333,8.295833333
61.3025,38.2275,8.359166667
61.34833333,38.1375,8.411666667
60.72916667,36.93083333,8.4075
61.18666667,36.7025,8.4075
61.09666667,37.26333333,8.523333333
61.52,36.0275,8.610833333
61.72666667,36.26,8.730833333
61.73333333,36.64333333,8.715
61.6825,36.97416667,8.6975
61.745,37.58166667,8.695833333
61.86583333,36.66416667,8.670833333
61.78916667,37.43666667,8.649166667
61.97166667,36.14,8.71
61.73833333,37.48,8.755
61.9375,36.8175,8.715833333
61.93666667,38.5075,8.6675
61.9125,37.75333333,8.625
61.36333333,38.35583333,8.5325
61.62,38.19916667,8.500833333
61.53,38.6325,8.455833333
61.71416667,37.8825,8.485833333
61.56333333,38.4025,8.4825
61.65916667,38.25166667,8.59
61.80166667,37.94583333,8.635
61.51583333,37.64333333,8.564166667
61.28416667,39.2925,8.503333333
61.32416667,38.12666667,8.516666667
61.51666667,38.28916667,8.511666667
61.78583333,38.9775,8.5725
61.58166667,37.20333333,8.66
61.50083333,37.91083333,8.633333333
61.86916667,36.5825,8.7
62.13666667,36.395,8.753333333
62.30833333,35.80166667,8.811666667
62.36416667,35.5,8.9125
61.63416667,35.495,8.909166667
61.5375,36.34,8.86
62.575,37.7225,9.193333333
62.50166667,37.13333333,9.193333333
62.78166667,35.70916667,9.158333333
65.10333333,32.35083333,9.201666667
66.0625,32.16833333,9.304166667
66.14833333,32.34416667,9.344166667
66.85833333,31.77,9.424166667
66.30166667,32.425,9.320833333
65.76666667,31.22333333,9.225833333
