ExtCondensTurbineOP.steam_flow_in,ExtCondensTurbineOP.steam_flow_side,ExtCondensTurbineOP.electricity_generation
74.76666667,32.23583333,10.0925
74.27166667,32.14916667,9.918333333
75.56166667,31.67166667,10.06333333
72.40666667,31.9575,9.718333333
71.5525,33.095,9.436666667
70.80666667,32.41916667,9.138333333
73.20416667,32.08333333,9.370833333
72.39916667,33.95666667,9.3
72.705,34.24416667,9.269166667
72.705,34.76583333,9.274166667
71.75,34.4475,9.019166667
71.88666667,34.17333333,8.938333333
72.22416667,34.18333333,8.9875
73.0175,33.87583333,8.995833333
74.48416667,31.94666667,9.025
76.53916667,29.31083333,9.0825
76.56,25.98583333,9.078333333
78.40583333,26.06333333,9.18
78.52416667,23.92833333,9.2075
77.4625,22.6025,9.190833333
77.28333333,23.765,9.15
77.36416667,19.08666667,9.489166667
77.02833333,19.31583333,9.750833333
75.945,20.76583333,9.714166667
76.06833333,21.21666667,9.635833333
76.07333333,22.05333333,9.616666667
76.47666667,23.36833333,9.633333333
76.32666667,24.07,9.6
75.73083333,22.13083333,9.529166667
75.80416667,23.27166667,9.525833333
75.0325,21.24,9.391666667
75.31916667,23.25,9.354166667
71.245,23.2475,8.5475
72.60166667,22.72583333,8.451666667
73.3125,25.9575,8.585833333
75.29916667,16.9,8.804166667
76.74666667,12.825,8.630833333
76.38083333,14.11583333,8.535833333
76.7425,14.95083333,8.356666667
76.78666667,14.57,8.3325
77.00916667,15.71166667,8.320833333
77.21583333,14.93666667,8.3075
76.4825,14.80166667,8.271666667
77.44,12.98666667,8.371666667
77.83166667,12.08,8.48
78.06166667,12.1125,8.624166667
78.17583333,11.80166667,8.656666667
77.78916667,11.42583333,8.630833333
78.05416667,11.30666667,8.663333333
79.66333333,11.91083333,9.015
78.79666667,11.025,9.0875
79.1875,12.36083333,9.011666667
77.12083333,12.62916667,9.029166667
75.80083333,13.7375,9.199166667
75.6025,15.49333333,9.105
75.62416667,16.05,9.089166667
75.60333333,17.31166667,9.089166667
75.79583333,17.92333333,9.061666667
76.20666667,18.725,9.018333333
76.58083333,18.8075,8.983333333
76.83,18.9925,8.976666667
77.14583333,22.0025,8.946666667
75.80666667,20.24416667,8.888333333
76.47333333,20.9825,8.958333333
76.12166667,19.85583333,8.973333333
76.09916667,19.89666667,8.9825
76.74416667,19.4475,9.194166667
75.72583333,18.52083333,9.100833333
76.83083333,20.18333333,9.145
77.36583333,20.3775,9.12
76.09916667,19.8575,9.134166667
76.48416667,20.51833333,9.121666667
76.93083333,20.665,9.156666667
76.58583333,18.81583333,9.241666667
77.10083333,18.39666667,9.3125
75.66416667,17.74666667,9.255
75.3225,18.51416667,9.235
76.85333333,17.17083333,9.408333333
75.235,17.88833333,9.331666667
75.65333333,16.9825,9.375833333
75.86666667,17.41916667,9.4
76.07,17.74666667,9.421666667
76.93333333,18.47166667,9.475833333
75.825,18.64333333,9.405
76.78083333,18.52083333,9.479166667
75.52083333,18.93166667,9.403333333
77.40166667,17.74416667,9.5975
76.24583333,18.89,9.506666667
77.87666667,19.24583333,9.553333333
76.61166667,19.54583333,9.460833333
77.0725,19.20833333,9.4475
76.59083333,20.335,9.363333333
76.86333333,20.545,9.380833333
76.3,20.9175,9.345833333
76.85916667,20.28583333,9.376666667
76.9925,19.43416667,9.385
77.55583333,18.61333333,9.554166667
76.25416667,19.37333333,9.350833333
77.93666667,19.50833333,9.450833333
76.79,19.76416667,9.4025
76.52083333,19.95083333,9.360833333
77.62416667,19.86416667,9.424166667
75.88583333,19.10333333,9.3925
77.3675,19.30916667,9.533333333
75.81833333,19.02833333,9.443333333
75.68583333,18.97916667,9.416666667
75.3625,18.59666667,9.3925
75.36916667,17.98916667,9.380833333
75.59,16.265,9.450833333
76.24333333,14.8175,9.515833333
77.58166667,14.70166667,9.630833333
77.325,14.92083333,9.593333333
75.91333333,16.325,9.475833333
73.31333333,20.28916667,9.3575
73.255,21.21083333,9.395
73.63916667,21.01333333,9.465
73.3325,21.23833333,9.465
73.755,21.51166667,9.485833333
72.13583333,21.0475,9.309166667
73.26333333,22.66583333,9.404166667
72.90333333,21.82916667,9.39
72.73833333,21.51916667,9.374166667
73.10416667,21.46416667,9.400833333
72.09,21.38333333,9.265833333
72.83916667,22.1525,9.3125
72.73333333,22.175,9.283333333
72.20416667,21.27416667,9.105833333
72.73166667,23.2425,9.155
72.29583333,23.04416667,9.104166667
72.61666667,20.54333333,9.14
74.44666667,22.34666667,9.315
74.79833333,22.22833333,9.45
74.90166667,21.37166667,9.565
75.28083333,23.555,9.625
75.26666667,22.07583333,9.599166667
75.43666667,24.49083333,9.633333333
75.23083333,24.35083333,9.610833333
74.68416667,22.57666667,9.533333333
74.89333333,24.82083333,9.5275
74.60083333,24.09166667,9.491666667
74.80583333,22.44583333,9.491666667
74.97666667,22.7325,9.588333333
74.45666667,22.435,9.5225
74.38416667,24.47333333,9.505833333
74.73166667,20.51166667,9.583333333
74.96333333,21.34833333,9.5925
74.47833333,20.52583333,9.546666667
74.84,18.59583333,9.598333333
75.19583333,18.92666667,9.665
74.97166667,18.86333333,9.809166667
75,19.41083333,9.758333333
76.64666667,20.56583333,10.1375
75.03166667,18.73833333,9.9275
74.35916667,20.10833333,9.723333333
74.70083333,20.64,9.743333333
74.57666667,20.5725,9.745833333
76.34,19.45666667,10.12083333
76.39166667,19.90583333,10.10416667
76.17916667,20.00583333,10.00333333
74.12166667,20.55333333,9.714166667
74.9875,20.81727273,9.769166667
75.3625,21.20666667,9.843333333
74.8675,21.52583333,9.743333333
75.565,21.14583333,9.830833333
74.7475,20.865,9.8225
73.8275,22.36666667,9.555
73.745,22.74083333,9.541666667
73.65083333,23.15166667,9.5175
74.585,23.07916667,9.591666667
74.50083333,23.32,9.59
73.95083333,23.7875,9.506666667
73.83333333,23.96,9.498333333
73.33333333,23.36416667,9.465
73.84583333,23.0775,9.506666667
74.10416667,23.19272727,9.535
72.93833333,22.58,9.4275
73.03916667,22.05083333,9.471666667
73.185,21.885,9.5225
73.01916667,22.43666667,9.501666667
72.6975,21.8575,9.481666667
73.27916667,21.28,9.4825
73.49583333,21.47333333,9.483333333
73.55,21.3925,9.443333333
74.06583333,21.61833333,9.45
74.77416667,21.3125,9.474166667
75.105,23.14083333,9.44
74.805,24.61666667,9.354166667
75.115,25.56333333,9.305
73.9275,24.24583333,9.190833333
73.73083333,23.23916667,9.140833333
73.62833333,22.46083333,9.106666667
73.7375,23.58083333,9.116666667
73.51916667,23.1975,9.093333333
73.60083333,23.13,9.1525
73.69166667,23.16833333,9.130833333
72.47166667,24.6325,9.043333333
71.30583333,25.85416667,9.001666667
71.69833333,27.065,9.125
71.96083333,28.21166667,9.194166667
71.60166667,28.56,9.130833333
71.65666667,28.91666667,9.106666667
71.96333333,30.25333333,9.105
71.44,28.8025,9.034166667
71.6525,29.73,9.005833333
71.69833333,30.215,8.99
71.81,30.4525,8.974166667
72.0375,30.97916667,8.974166667
72.08416667,30.21916667,8.945
72.0875,31.39333333,8.906666667
71.8625,30.5,8.88
71.85666667,31.26583333,8.830833333
71.52416667,30.54666667,8.825
72.68083333,30.92583333,8.965833333
70.8225,29.815,8.895833333
70.74,29.495,8.88
71.09583333,29.595,8.904166667
71.835,30.5125,9.066666667
71.84083333,31.14416667,9.085
71.865,30.04666667,9.109166667
71.08666667,31.55333333,9.260833333
70.17083333,31.48583333,9.155
70.585,32.385,9.168333333
71.415,33.22666667,9.274166667
71.05666667,32.55,9.230833333
71.035,34.2125,9.204166667
71.25416667,33.6475,9.2525
72.20916667,34.29,9.278333333
70.73666667,34.53166667,9.160833333
71.25416667,35.2525,9.106666667
70.4375,34.99333333,9.003333333
71.6375,35.32083333,9.013333333
71.17166667,35.29916667,8.9575
70.90916667,35.1125,8.920833333
71.44916667,35.1775,8.929166667
70.1275,34.74166667,8.874166667
72.31,31.54666667,9.043333333
71.09416667,30.6375,9.046666667
72.45333333,31.28916667,9.118333333
71.5775,31.88583333,9.105
72.71333333,31.9975,9.2025
71.69166667,31.8725,9.316666667
72.165,32.42,9.319166667
72.3125,32.7175,9.34
72.3225,31.94666667,9.36
73.08166667,32.95333333,9.4375
72.30833333,32.29166667,9.391666667
72.69,31.8825,9.400833333
72.82333333,32.09166667,9.421666667
73.03583333,31.4925,9.535833333
72.515,29.305,9.535833333
72.885,30.3225,9.625833333
72.99666667,29.74916667,9.821666667
73.30666667,30.355,9.7975
73.01083333,29.7,9.773333333
72.78083333,29.44333333,9.681666667
72.49583333,28.94833333,9.659166667
72.37416667,28.35166667,9.72
72.2225,27.95916667,9.7375
72.5275,27.53916667,9.849166667
72.62083333,27.46916667,9.953333333
72.47166667,27.05,9.948333333
72.80666667,27.33416667,10.00583333
72.98,26.8925,10.03916667
75.3075,25.80833333,10.15333333
75.13083333,25.44833333,10.05416667
74.86916667,24.86916667,9.9425
75.0125,26.8275,9.8925
74.0675,26.77166667,9.740833333
73.625,25.965,9.605833333
74.3475,25.60833333,9.546666667
71.49416667,27.315,9.360833333
71.88166667,28.0125,9.31
72.18916667,29.49416667,9.253333333
69.28416667,29.69,8.823333333
69.84166667,30.4125,8.67
68.58916667,30.97333333,8.498333333
69.3425,31.235,8.465833333
68.785,30.805,8.441666667
68.38583333,30.44083333,8.409166667
68.56416667,30.10666667,8.4675
68.01,29.07166667,8.450833333
68.48416667,29.87666667,8.4875
68.63416667,30.07833333,8.516666667
69.24916667,31.02666667,8.6025
68.90333333,30.63,8.5575
69.46833333,31.29083333,8.623333333
68.95416667,30.27583333,8.67
68.99916667,30.14166667,8.639166667
69.42083333,30.69583333,8.709166667
69.06916667,29.15916667,8.74
69.69333333,29.025,8.821666667
69.26833333,29.8925,8.809166667
69.85833333,29.03833333,8.843333333
70.32666667,30.69166667,8.978333333
71.25333333,30.84916667,9.200833333
71.68083333,29.225,9.34
71.09333333,29.79166667,9.243333333
71.09916667,28.74916667,9.2525
71.4,29.96666667,9.2575
70.8075,28.52333333,9.175833333
71.21666667,28.75416667,9.260833333
70.7175,28.29916667,9.263333333
70.77166667,26.84416667,9.431666667
70.27166667,26.80916667,9.35
71.33833333,27.13916667,9.6325
71.22916667,27.9675,9.598333333
72.025,27.0075,9.745
72.24416667,27.6075,9.753333333
71.565,27.38416667,9.635833333
72.64333333,27.40333333,9.8775
71.77,27.24583333,9.650833333
72.60583333,26.83833333,9.640833333
72.91916667,27.50333333,9.616666667
73.40666667,27.6175,9.728333333
73.34,26.5875,9.7075
72.615,27.47916667,9.569166667
73.39,26.60583333,9.669166667
71.69333333,26.10333333,9.425
72.21916667,26.60666667,9.456666667
71.16416667,25.67083333,9.3275
71.3225,25.62,9.3475
70.665,25.2775,9.286666667
70.96083333,25.2675,9.375833333
71.16666667,24.86583333,9.400833333
71.38916667,25.28666667,9.465
71.24666667,25.19833333,9.379166667
71.12666667,24.7225,9.3325
72.09416667,25.16583333,9.398333333
72.81833333,20.57666667,9.455833333
73.37166667,23.4925,9.466666667
73.4525,22.46833333,9.4525
73.5975,23.5425,9.4425
74.08666667,23.0775,9.524166667
74.19666667,24.31583333,9.521666667
73.5075,23.30916667,9.395
73.8225,25.05,9.401666667
73.42416667,23.9825,9.321666667
74.03,25.70416667,9.35
73.16416667,25.3475,9.213333333
73.32916667,26.77916667,9.16
74.01,26.46,9.1775
72.8675,25.99416667,9.094166667
72.545,25.23666667,9.0475
72.1375,23.9675,9.021666667
73.10583333,24.30166667,9.1725
71.98666667,23.49166667,9.1275
73.12916667,23.865,9.238333333
72.04,22.48333333,9.161666667
72.93333333,23.29,9.245833333
72.19166667,23.42,9.173333333
72.19916667,21.79833333,9.1625
73.02416667,23.64,9.2975
72.59083333,23.295,9.260833333
73.04416667,25.04333333,9.261666667
73.00083333,24.50333333,9.235833333
72.63583333,26.4075,9.1775
73.1525,26.02833333,9.215833333
72.5,25.86333333,9.085833333
72.61333333,27.01666667,9.028333333
72.3925,26.00416667,9.006666667
72.65583333,26.83666667,9.013333333
72.54083333,26.0275,9.045
72.92,25.89166667,9.129166667
72.78,25.28916667,9.171666667
72.38333333,25.89833333,9.104166667
72.67416667,24.71,9.133333333
72.3575,24.88666667,9.105833333
72.3075,25.585,9.0825
72.88833333,25.29833333,9.159166667
72.385,25.81666667,9.0925
71.7525,26.445,9.065
72.96083333,25.93416667,9.046666667
73.06916667,25.20666667,9.011666667
73.01,26.0925,8.968333333
70.955,27.43416667,8.829166667
72.99833333,26.30166667,8.88
72.16833333,26.0425,8.815833333
71.4275,25.96416667,8.725
71.74583333,26.1525,8.728333333
72.39416667,27.11416667,8.859166667
71.94916667,28.51416667,8.821666667
71.91416667,27.26,8.7825
73.54,27.76833333,8.885
71.82333333,26.26,8.831666667
72.515,26.48166667,8.8525
71.6625,26.085,8.810833333
71.89583333,25.53083333,8.874166667
72.16583333,24.49583333,9.044166667
72.48,25.35416667,9.081666667
72.51583333,25.20916667,9.151666667
72.70833333,25.43083333,9.196666667
72.21166667,24.1425,9.1775
72.60083333,24.97,9.188333333
73.1575,25.4875,9.298333333
73.34416667,25.17333333,9.350833333
72.84166667,25.325,9.291666667
72.53666667,24.28083333,9.2375
73.10083333,25.68416667,9.25
73.86916667,26.44416667,9.3125
73.51583333,26.45166667,9.290833333
72.8625,26.46666667,9.233333333
74.37333333,26.7525,9.335833333
72.17,26.32083333,9.195
73.22583333,26.5025,9.25
72.37666667,25.38416667,9.2
71.73,24.2225,9.145
71.69416667,24.75333333,9.11
71.63083333,23.7725,9.158333333
72.28916667,23.50916667,9.303333333
71.7475,21.87,9.300833333
72.5375,21.9775,9.481666667
72.005,20.0725,9.426666667
72.68666667,21.7875,9.553333333
72.1,22.675,9.593333333
71.99333333,22.84333333,9.714166667
69.64166667,24.08666667,9.219166667
69.16666667,25.92916667,9.06
68.4475,27.0525,9.029166667
68.71833333,26.68333333,9.064166667
67.945,27.485,9.021666667
68.45,27.45583333,9.05
69.7825,27.1425,9.1375
68.85416667,26.59416667,9.0125
69.56083333,27.61,9.050833333
68.09833333,26.95666667,8.934166667
68.98916667,28.37166667,8.9025
67.39833333,26.82083333,8.776666667
68.0425,27.55083333,8.825
68.49333333,25.2725,9.0875
69.19416667,25.89833333,9.171666667
67.35,23.9875,9.06
69,25.8275,9.165833333
67.70916667,24.2425,9.083333333
69.105,26.41,9.1625
68.83,26.495,9.128333333
69.25083333,27.335,9.096666667
69.0275,26.465,9.126666667
68.48083333,26.205,9.004166667
68.6425,26.83416667,8.951666667
69.71,28.5325,9.048333333
68.57916667,27.75333333,8.939166667
68.50916667,27.86833333,8.911666667
69.03,29.06666667,8.94
68.565,28.46833333,8.885
69.2475,28.87583333,8.9275
68.56333333,28.83166667,8.869166667
68.91416667,29.21,8.863333333
69.785,29.61416667,8.994166667
69.03833333,27.31583333,8.9225
69.9375,27.54833333,9.110833333
69.27666667,26.41083333,9.1225
70.1075,27.43583333,9.186666667
69.965,26.73666667,9.223333333
70.49,27.855,9.278333333
69.50416667,26.24583333,9.160833333
70.75,28.06333333,9.246666667
70.01416667,27.995,9.139166667
71.03166667,29.27833333,9.274166667
70.47,28.79583333,9.146666667
71.35916667,30.40583333,9.253333333
70.01916667,28.54666667,9.078333333
70.50166667,29.3375,9.124166667
72.49833333,28.4725,9.6125
72.5375,27.93083333,9.701666667
73.04833333,27.03083333,9.9925
73.37,27.91,9.889166667
73.6175,22.84166667,9.95
75.6025,16.9275,9.955833333
77.68416667,20.60083333,9.989166667
77.8125,19.41083333,10.11333333
77.145,19.06166667,10.00916667
76.83333333,21.04916667,9.904166667
75.22666667,21.95916667,9.756666667
74.8325,22.34916667,9.710833333
73.60916667,22.77333333,9.590833333
74.02416667,23.585,9.565
74.4875,22.85166667,9.5975
72.67333333,23.955,9.976666667
79.765,24.5575,11.30583333
80.88,25.40333333,11.6325
84.30916667,25.58666667,11.98083333
83.53166667,27.42333333,11.90916667
83.75083333,27.975,11.91666667
82.53916667,26.41916667,11.87583333
83.7375,24.8725,11.91833333
83.71083333,24.98833333,11.89166667
84.0375,26.16,11.87333333
84.47,27.5175,11.90833333
84.0275,27.425,11.85083333
84.0575,27.29083333,11.86416667
83.73416667,26.45083333,11.845
84.07583333,25.90166667,11.90416667
84.02666667,25.05916667,11.9325
82.85333333,25.07416667,11.83333333
83.29083333,24.685,11.94083333
82.41916667,24.20166667,11.93583333
81.38333333,26.84666667,11.96666667
81.86916667,28.78583333,11.9775
85.45166667,26.665,12.24833333
84.80666667,26.18333333,12.195
83.7625,24.42166667,12.14083333
85.32833333,24.41416667,12.26666667
82.84916667,25.58666667,12.09666667
85.26083333,26.57083333,12.265
83.74583333,25.79916667,12.1225
83.60083333,26.51333333,12.11666667
